City/Town,TOWN_ID,Sen12D,Sen12R,POP2010
Dracut,79,5499,9694,29457
Dudley,80,2057,3038,11390
Dunstable,81,707,1184,3179
Duxbury,82,3499,6120,15059
E. Bridgewater,83,2678,4644,13794
E. Brookfield,84,390,762,2183
E. Longmeadow,85,3331,5362,15720
Eastham,86,2010,1676,4956
Easthampton,87,5740,3269,16053
Easton,88,4858,7212,23112
Edgartown,89,1511,1048,4067
Egremont,90,625,205,1225
Erving,91,476,298,1800
Essex,92,958,1208,3504
Everett,93,8416,4664,41667
Fairhaven,94,4508,3703,15873
Fall River,95,19898,9501,88857
Falmouth,96,9973,9543,31531
Fitchburg,97,7339,7087,40318
Florida,98,221,164,752
Foxborough,99,3813,5918,16865
Framingham,100,16460,11399,68318
Franklin,101,6709,10737,31635
Freetown,102,2085,2576,8870
Gardner,103,4018,4195,20228
Georgetown,105,1895,3028,8183
Gill,106,594,293,1500
Gloucester,107,8119,7417,28789
Goshen,108,359,253,1054
Gosnold,109,43,44,75
Grafton,110,4006,5469,17765
Granby,111,1608,1889,6240
Granville,112,301,594,1566
Great Barrington,113,2813,775,7104
Greenfield,114,5720,2596,17456
Groton,115,2741,3365,10646
Groveland,116,1475,2500,6459
Hadley,117,1978,1129,5250
Halifax,118,1575,2509,7518
Hamilton,119,1826,2659,7764
Hampden,120,1070,1824,5139
Hancock,121,215,164,717
Hanover,122,2742,5601,13879
Hanson,123,2035,3528,10209
Hardwick,124,608,701,2990
Harvard,125,1982,1609,6520
Harwich,126,3970,4195,12243
Hatfield,127,1205,831,3279
Haverhill,128,13241,14648,60879
Hawley,129,116,79,337
Heath,130,268,162,706
Hingham,131,5824,8339,22157
Hinsdale,132,666,386,2032
Holbrook,133,2590,2924,10791
Holden,134,4173,6380,17346
Holland,135,524,795,2481
Holliston,136,3889,4398,13547
Holyoke,137,11432,4921,39880
Hopedale,138,1363,1925,5911
Hopkinton,139,3487,5159,14925
Hubbardston,140,929,1671,4382
Hudson,141,4727,5277,19063
Hull,142,3170,2907,10293
Huntington,143,502,605,2180
Ipswich,144,3876,4483,13175
Kingston,145,2587,4378,12629
Lakeville,146,1977,3834,10602
Lancaster,147,1493,2216,8055
Lanesborough,148,1078,499,3091
Lawrence,149,17235,4517,76377
Lee,150,2017,931,5943
Leicester,151,2232,3299,10970
Lenox,152,2218,825,5025
Leominster,153,8459,10200,40759
Leverett,154,1005,227,1851
Lexington,155,11922,6397,31394
Leyden,156,306,155,711
Lincoln,157,2448,1272,6362
Littleton,158,2485,2930,8924
Longmeadow,159,4258,5185,15784
Lowell,160,19825,13989,106519
Ludlow,161,4329,5308,21103
Lunenburg,162,2316,3595,10086
Lynn,163,20811,11097,90329
Lynnfield,164,2245,5006,11596
Malden,165,13582,7353,59450
Manchester-by-the-Sea,166,1673,1848,5136
Mansfield,167,4762,7191,23184
Marblehead,168,6076,6573,19808
Marion,169,1503,1723,4907
Marlborough,170,8055,8648,38499
Marshfield,171,5804,9284,25132
Mashpee,172,3655,4624,14006
Mattapoisett,173,1786,2176,6045
Maynard,174,3147,2644,10106
Medfield,175,2832,4569,12024
Medford,176,16984,10686,56173
Medway,177,2915,4338,12752
Melrose,178,8076,7465,26983
Mendon,179,1215,2200,5839
Merrimac,180,1525,2053,6338
Methuen,181,9325,12173,47255
Middleborough,182,4378,7084,23116
Middlefield,183,168,122,521
Middleton,184,1627,3010,8987
Milford,185,6011,6835,27999
Millbury,186,2807,3988,13261
Millis,187,1934,2805,7891
Millville,188,579,975,3190
Milton,189,8491,7381,27003
Monroe,190,26,27,121
Monson,191,1830,2457,8560
Montague,192,2987,1222,8437
Monterey,193,403,126,961
Montgomery,194,204,306,838
Mount Washington,195,83,25,167
Nahant,196,1202,1104,3410
Nantucket,197,3435,2653,10172
Natick,198,10113,8624,33006
Needham,199,9054,8187,28886
New Ashford,200,102,52,228
New Bedford,201,23178,9866,95072
New Braintree,202,235,324,999
New Marlborough,203,528,304,1509
New Salem,204,351,251,990
Newbury,205,1973,2482,6666
Newburyport,206,5799,5189,17416
Newton,207,29868,15034,85146
Norfolk,208,1881,3837,11227
North Adams,209,4126,1601,13708
North Andover,210,5860,9384,28352
North Attleborough,211,5177,9064,28712
North Brookfield,212,877,1490,4680
North Reading,213,3210,5528,14892
Northampton,214,13052,2965,28549
Northborough,215,3633,4742,14155
Northbridge,216,2765,4915,15707
Northfield,217,1014,611,3032
Norton,218,3652,5422,19031
Norwell,219,2235,4253,10506
Norwood,220,6911,7922,28602
Oak Bluffs,221,1821,959,4527
Oakham,222,409,737,1902
Orange,223,1555,1687,7839
Orleans,224,2335,2199,5890
Otis,225,437,381,1612
Oxford,226,2566,3929,13709
Palmer,227,2565,3059,12140
Paxton,228,929,1579,4806
Peabody,229,12510,14389,51251
Pelham,230,717,169,1321
Pembroke,231,3677,6113,17837
Pepperell,232,2417,4075,11497
Peru,233,281,187,847
Petersham,234,405,412,1234
Phillipston,235,391,560,1682
Pittsfield,236,14486,5413,44737
Plainfield,237,277,112,648
Plainville,238,1590,2843,8264
Plymouth,239,12689,17264,56468
Plympton,240,661,1080,2820
Princeton,241,946,1358,3413
Provincetown,242,2026,353,2942
Quincy,243,21580,18619,92271
Randolph,244,10580,4496,32112
Raynham,245,2638,4333,13383
Reading,246,6342,8017,24747
Rehoboth,247,2613,3651,11608
Revere,248,10486,7235,51755
Richmond,249,665,266,1475
Rochester,250,1166,1951,5232
Rockland,251,3754,4992,17489
Rockport,252,2598,2144,6952
Rowe,253,130,110,393
Rowley,254,1300,2275,5856
Royalston,255,339,330,1258
Russell,256,326,464,1775
Rutland,257,1674,2821,7973
Salem,258,11953,7717,41340
Salisbury,259,1853,2430,8283
Sandisfield,260,265,183,915
Sandwich,261,5055,7422,20675
Saugus,262,5899,7808,26628
Savoy,263,204,145,692
Scituate,264,4693,6723,18133
Seekonk,265,3434,3823,13722
Sharon,266,5856,4475,17612
Sheffield,267,1165,643,3257
Shelburne,268,831,311,1893
Sherborn,269,1252,1427,4119
Shirley,270,1335,1789,7211
Shrewsbury,271,8103,10025,35608
Shutesbury,272,1045,210,1771
Somerset,273,5425,4513,18165
Somerville,274,27782,7071,75754
South Hadley,275,4799,4055,17514
Southampton,276,1603,1919,5792
Southborough,277,2480,3358,9767
Southbridge,278,3799,2861,16719
Southwick,279,1732,3169,9502
Spencer,280,2131,3406,11688
Springfield,281,40341,14088,153060
Sterling,282,1682,3126,7808
Stockbridge,283,915,282,1947
Stoneham,284,5610,6841,21437
Stoughton,285,7066,6810,26962
Stow,286,2049,2220,6590
Sturbridge,287,2121,3158,9268
Sudbury,288,5390,5242,17659
Sunderland,289,1300,566,3684
Sutton,290,1765,3600,8963
Swampscott,291,4260,3993,13787
Swansea,292,4010,3860,15865
Taunton,293,11874,11116,55874
Templeton,294,1550,2240,8013
Tewksbury,295,6173,9975,28961
Tisbury,296,1731,747,3949
Tolland,297,102,176,485
Topsfield,298,1512,2475,6085
Townsend,299,1738,3192,8926
Truro,300,970,497,2003
Tyngsborough,301,2330,3975,11292
Tyringham,302,159,99,327
Upton,303,1626,2581,7542
Uxbridge,304,2740,4425,13457
Wakefield,305,6066,8445,24932
Wales,306,414,514,1838
Walpole,307,5047,9002,24070
Waltham,308,14051,11147,60632
Ware,309,1993,2262,9872
Wareham,310,5341,5569,21822
Warren,311,1056,1252,5135
Warwick,312,295,158,780
Washington,313,215,99,538
Watertown,314,10802,5952,31915
Wayland,315,4591,3669,12994
Webster,316,2923,3773,16767
Wellesley,317,7470,7415,27982
Wellfleet,318,1498,744,2750
Wendell,319,438,119,848
Wenham,320,898,1457,4875
West Boylston,321,1673,2506,7669
West Bridgewater,322,1427,2543,6916
West Brookfield,323,813,1139,3701
West Newbury,324,1184,1586,4235
West Springfield,325,5167,6305,28391
West Stockbridge,326,686,191,1306
West Tisbury,327,1489,486,2740
Westborough,328,4250,4839,18272
Westfield,329,7722,10083,41094
Westford,330,5354,7547,21951
Westhampton,331,574,482,1607
Westminster,332,1638,2640,7277
Weston,333,3029,3646,11261
Westport,334,4606,3995,15532
Westwood,335,3717,5362,14618
Weymouth,336,12755,15143,53743
Whately,337,578,379,1496
Whitman,338,2955,4497,14489
Wilbraham,339,3147,5005,14219
Williamsburg,340,1206,416,2482
Williamstown,341,2981,793,7754
Wilmington,342,4825,7698,22325
Winchendon,343,1832,2342,10300
Winchester,344,6268,6623,21374
Windsor,345,352,171,899
Winthrop,346,4546,4368,17497
Woburn,347,8702,10646,38120
Worcester,348,38051,23037,181045
Worthington,349,455,271,1156
Wrentham,350,1879,4451,10955
Yarmouth,351,6412,7486,23793
