City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Total Votes Cast,pop by share of vote
Boston,10,3,553,58,663,1476.2617696473253
Boston,10,4,977,154,1190,2649.7006121875065
Boston,10,5,678,77,857,1908.229768608986
Boston,10,6,761,44,870,1937.176077817757
Boston,10,7,1082,34,1156,2573.9948804107207
Boston,10,8,1021,67,1168,2600.7145504495866
Boston,10,9,1432,78,1617,3600.475537737141
Boston,11,1,560,19,627,1396.1027595307285
Boston,11,2,1000,25,1073,2389.183829308567
Boston,11,3,768,27,820,1825.8441193224837
Boston,11,4,1247,49,1375,3061.628858620018
Boston,11,5,1000,48,1099,2447.076447726109
Boston,11,6,845,43,960,2137.5736031092492
Boston,11,7,1113,49,1229,2736.53953981382
Boston,11,8,1123,58,1249,2781.0723232119294
Boston,11,9,762,45,865,1926.0428819682297
Boston,11,10,956,27,1047,2331.2912108910245
Boston,12,1,1049,37,1141,2540.595292862139
Boston,12,2,1126,26,1211,2696.4600347555215
Boston,12,3,599,18,659,1467.3552129677034
Boston,12,4,658,29,721,1605.4068415018423
Boston,12,5,470,10,489,1088.8265540837738
Boston,12,6,544,22,587,1307.0371927345097
Boston,12,7,1491,42,1581,3520.3165276205445
Boston,12,8,457,16,491,1093.2798324235846
Boston,12,9,620,20,664,1478.4884088172305
Boston,13,1,876,33,942,2097.4940980509505
Boston,13,2,329,12,356,792.6835444863466
Boston,13,3,679,69,813,1810.2576451331454
Boston,13,4,610,26,658,1465.1285737977978
Boston,13,5,611,39,686,1527.4744705551511
Boston,13,6,801,75,921,2050.734675482936
Boston,13,7,758,182,1027,2286.7584274929154
Boston,13,8,681,143,888,1977.2555828760553
Boston,13,9,799,103,962,2142.02688144906
Boston,13,10,913,303,1333,2968.110013483989
Boston,14,1,1377,50,1482,3299.8792497999034
Boston,14,2,1517,41,1613,3591.5689810575195
Boston,14,3,762,9,788,1754.5916658855087
Boston,14,4,850,30,913,2032.9215621236922
Boston,14,5,642,12,669,1489.621604666758
Boston,14,6,674,24,725,1614.3133981814642
Boston,14,7,696,19,737,1641.0330682203298
Boston,14,8,759,20,807,1796.8978101137127
Boston,14,9,775,22,826,1839.2039543419164
Boston,14,10,805,13,837,1863.6969852108766
Boston,14,11,686,30,738,1643.2597073902352
Boston,14,12,484,11,506,1126.6794199721667
Boston,14,13,664,16,709,1578.6871714629767
Boston,14,14,757,16,798,1776.8580575845635
Boston,15,1,887,31,948,2110.853933070384
Boston,15,2,612,8,643,1431.728986249216
Boston,15,3,395,16,423,941.8683688700129
Boston,15,4,1069,90,1217,2709.8198697749544
Boston,15,5,781,29,842,1874.830181060404
Boston,15,6,373,101,502,1117.772863292545
Boston,15,7,638,22,694,1545.2875839143946
Boston,15,8,490,77,604,1344.8900586229026
Boston,15,9,616,81,734,1634.3531507106134
Boston,16,1,569,102,705,1569.7806147833548
Boston,16,2,457,157,651,1449.5420996084595
Boston,16,3,869,106,1024,2280.078509983199
Boston,16,4,696,111,860,1914.9096861187024
Boston,16,5,779,175,1015,2260.03875745405
Boston,16,6,995,167,1235,2749.899374833253
Boston,16,7,589,305,971,2162.066633978209
Boston,16,8,748,241,1096,2440.396530216393
Boston,16,9,582,466,1134,2525.0088186728008
Boston,16,10,576,331,964,2146.480159788871
Boston,16,11,749,291,1127,2509.4223444834624
Boston,16,12,456,442,982,2186.559664847169
Boston,17,1,726,30,781,1739.0051916961704
Boston,17,2,499,33,564,1255.824491826684
Boston,17,3,1143,50,1242,2765.485849022591
Boston,17,4,1169,112,1339,2981.4698485034214
Boston,17,5,509,15,553,1231.3314609577237
Boston,17,6,821,44,908,2021.7883662741647
Boston,17,7,448,15,482,1073.2400798944354
Boston,17,8,730,32,783,1743.4584700359812
Boston,17,9,634,39,699,1556.4207797639222
Boston,17,10,1006,36,1074,2391.4104684784725
Boston,17,11,389,14,424,944.0950080399183
Boston,17,12,612,39,678,1509.6613571959072
Boston,17,13,752,143,961,2139.8002422791546
Boston,17,14,835,106,983,2188.786304017075
Boston,18,1,1347,49,1434,3193.000569644441
Boston,18,2,961,18,1011,2251.132200774428
Boston,18,3,1096,18,1148,2556.1817670514774
Boston,18,4,1075,34,1140,2538.3686536922332
Boston,18,5,969,39,1038,2311.2514583618754
Boston,18,6,1343,49,1426,3175.1874562851976
Boston,18,7,932,107,1076,2395.8637468182833
Boston,18,8,1646,147,1858,4137.095577684359
Boston,18,9,923,164,1143,2545.0485712019495
Boston,18,10,1321,201,1625,3618.2886510963854
Boston,18,11,851,87,981,2184.3330256772642
Boston,18,12,926,187,1162,2587.354715430153
Boston,18,13,574,59,670,1491.8482438366636
Boston,18,14,616,67,711,1583.1404498027875
Boston,18,15,919,67,1025,2282.3051491531046
Boston,18,16,836,346,1277,2843.4182199692823
Boston,18,17,935,171,1175,2616.301024638925
Boston,18,18,1120,205,1391,3097.255085338506
Boston,18,19,1463,260,1831,4076.976320096912
Boston,18,20,1023,430,1547,3444.6107958437588
Boston,18,21,1223,38,1308,2912.444034236352
Boston,18,22,926,325,1335,2972.5632918237993
Boston,18,23,900,69,999,2224.4125307355625
Boston,19,1,1008,29,1104,2458.209643575636
Boston,19,2,967,236,1316,2930.2571475955956
Boston,19,3,772,62,898,1999.52197457511
Boston,19,4,1179,42,1281,2852.324776648904
Boston,19,5,912,68,1041,2317.931375871592
Boston,19,6,1354,52,1501,3342.185394028107
Boston,19,7,1174,81,1339,2981.4698485034214
Boston,19,8,647,34,721,1605.4068415018423
Boston,19,9,638,45,740,1647.712985730046
Boston,19,10,1091,142,1312,2921.350590915974
Boston,19,11,1051,56,1152,2565.088323731099
Boston,19,12,807,106,953,2121.987128919911
Boston,19,13,737,83,858,1910.4564077788914
Boston,20,1,895,231,1203,2678.646921396278
Boston,20,2,967,171,1219,2714.2731481147653
Boston,20,3,787,339,1220,2716.499787284671
Boston,20,4,862,105,1037,2309.0248191919704
Boston,20,5,757,381,1231,2740.992818153631
Boston,20,6,927,358,1383,3079.4419719792622
Boston,20,7,590,207,861,1917.1363252886076
Boston,20,8,704,183,952,2119.7604897500055
Boston,20,9,778,211,1047,2331.2912108910245
Boston,20,10,955,474,1545,3440.1575175039475
Boston,20,11,470,165,672,1496.3015221764745
Boston,20,12,549,263,901,2006.2018920848266
Boston,20,13,508,229,802,1785.7646142641852
Boston,20,14,459,245,777,1730.0986350165485
Boston,20,15,878,462,1432,3188.5472913046297
Boston,20,16,845,510,1486,3308.785806479525
Boston,20,17,1030,488,1642,3656.1415169847783
Boston,20,18,550,174,778,1732.3252741864542
Boston,20,19,527,246,846,1883.7367377400258
Boston,20,20,964,363,1410,3139.5612295667097
Boston,21,1,983,89,1159,2580.6747979204374
Boston,21,2,472,41,554,1233.5581001276294
Boston,21,3,689,80,831,1850.337150191444
Boston,21,4,577,44,689,1534.1543880648674
Boston,21,5,936,78,1103,2455.9830044057308
Boston,21,6,657,93,811,1805.8043667933346
Boston,21,7,875,72,1018,2266.7186749637663
Boston,21,8,1001,80,1186,2640.794055507885
Boston,21,9,987,104,1174,2614.0743854690195
Boston,21,10,861,131,1055,2349.1043242502687
Boston,21,11,988,112,1202,2676.420282226373
Boston,21,12,904,192,1197,2665.287086376845
Boston,21,13,854,303,1262,2810.0186324207
Boston,21,14,654,61,780,1736.778552526265
Boston,21,15,791,81,928,2066.3211496722743
Boston,21,16,846,165,1129,2513.875622823273
Boston,22,1,1130,121,1397,3110.614920357939
Boston,22,2,1249,169,1544,3437.930878334042
Boston,22,3,1063,214,1403,3123.9747553773714
Boston,22,4,701,128,921,2050.734675482936
Boston,22,5,598,123,790,1759.0449442253196
Boston,22,6,606,106,793,1765.724861735036
Boston,22,7,949,155,1219,2714.2731481147653
Boston,22,8,669,199,940,2093.0408197111396
Boston,22,9,708,173,969,2157.6133556383984
Boston,22,10,835,163,1098,2444.8498085562037
Boston,22,11,596,130,787,1752.365026715603
Boston,22,12,605,138,811,1805.8043667933346
Boston,22,13,571,124,747,1663.2994599193844
Bourne,-,1,687,829,1631,2919.689533303126
Bourne,-,2,780,1001,1925,3445.985500679656
Bourne,-,3,435,542,1075,1924.381513366561
Bourne,-,4,863,803,1831,3277.7140009062073
Bourne,-,5,808,773,1739,3113.0227458087898
Bourne,-,6,627,485,1228,2198.270231082918
Bourne,-,7,710,768,1606,2874.936474852741
Boxborough,-,1,1987,756,3069,4996.0
Boxford,-,1,786,711,1706,2609.11866359447
Boxford,-,2,852,776,1813,2772.7620967741937
Boxford,-,3,816,707,1689,2583.1192396313363
Boylston,-,1,1424,1125,2861,4355.0
Braintree,-,1A,836,781,1759,3048.273829147678
Braintree,-,1B,827,663,1608,2786.59711044313
Braintree,-,2A,912,765,1833,3176.5127508969263
Braintree,-,2B,871,772,1802,3122.791040434403
Braintree,-,3A,831,594,1552,2689.551439930185
Braintree,-,3B,857,655,1653,2864.5802385338893
Braintree,-,4A,773,594,1509,2615.0342286434598
Braintree,-,4B,882,506,1504,2606.3694366333752
Braintree,-,5A,837,686,1669,2892.307572966159
Braintree,-,5B,994,762,1928,3341.1437990885292
Braintree,-,6A,960,864,1984,3438.189469601474
