City/Town,Ward,Pct,Martha Coakley,Scott P. Brown,Total Votes Cast,pop by share of vote
Boston,5,9,736,463,1204,4833.892464
Boston,5,10,458,221,688,2762.224265
Boston,5,11,410,229,645,2589.585248
Boston,6,1,724,423,1150,4617.089978
Boston,6,2,248,256,517,2075.68306
Boston,6,3,333,344,682,2738.1351
Boston,6,4,312,436,756,3035.234803
Boston,6,5,299,456,763,3063.338829
Boston,6,6,283,469,759,3047.279385
Boston,6,7,286,416,712,2858.580925
Boston,6,8,285,475,771,3095.457715
Boston,6,9,251,529,787,3159.695489
Boston,7,1,252,478,735,2950.922725
Boston,7,2,323,567,896,3597.315322
Boston,7,3,385,607,1007,4042.964876
Boston,7,4,305,413,731,2934.863281
Boston,7,5,244,274,525,2107.801946
Boston,7,6,266,199,470,1886.9846
Boston,7,7,184,81,267,1071.967847
Boston,7,8,207,180,404,1622.003783
Boston,7,9,276,145,430,1726.390166
Boston,7,10,303,45,349,1401.186437
Boston,8,1,269,37,306,1228.54742
Boston,8,2,629,173,814,3268.096732
Boston,8,3,319,11,332,1332.933802
Boston,8,4,152,6,161,646.3925969
Boston,8,5,377,19,398,1597.914618
Boston,8,6,116,26,143,574.1251016
Boston,8,7,260,21,284,1140.220481
Boston,9,1,521,85,610,2449.065119
Boston,9,2,686,175,866,3476.869496
Boston,9,3,851,75,946,3798.058364
Boston,9,4,440,26,479,1923.118347
Boston,9,5,617,30,651,2613.674413
Boston,10,1,242,51,297,1192.413673
Boston,10,2,264,56,326,1308.844637
Boston,10,3,234,72,311,1248.621724
Boston,10,4,420,124,555,2228.247772
Boston,10,5,354,86,447,1794.6428
Boston,10,6,312,60,376,1509.58768
Boston,10,7,380,34,420,1686.241557
Boston,10,8,506,91,603,2420.961093
Boston,10,9,770,133,909,3649.508513
Boston,11,1,350,19,371,1489.513375
Boston,11,2,423,20,444,1782.598217
Boston,11,3,344,17,362,1453.379628
Boston,11,4,510,40,558,2240.292354
Boston,11,5,546,29,585,2348.693597
Boston,11,6,478,58,541,2172.03972
Boston,11,7,678,57,744,2987.056473
Boston,11,8,695,93,791,3175.754932
Boston,11,9,475,63,545,2188.099163
Boston,11,10,616,53,674,2706.016213
Boston,12,1,506,16,528,2119.846529
Boston,12,2,687,18,710,2850.551204
Boston,12,3,302,21,332,1332.933802
Boston,12,4,292,17,315,1264.681168
Boston,12,5,286,9,299,1200.443394
Boston,12,6,273,10,287,1152.265064
Boston,12,7,646,24,683,2742.149961
Boston,12,8,210,9,220,883.269387
Boston,12,9,328,8,338,1357.022967
Boston,13,1,395,24,424,1702.301
Boston,13,2,134,8,144,578.1399624
Boston,13,3,308,73,387,1553.751149
Boston,13,4,267,11,286,1148.250203
Boston,13,5,249,13,278,1116.131316
Boston,13,6,366,86,463,1858.880574
Boston,13,7,289,178,474,1903.044043
Boston,13,8,284,146,437,1754.494192
Boston,13,9,360,129,494,1983.34126
Boston,13,10,547,393,958,3846.236694
Boston,14,1,515,22,540,2168.024859
Boston,14,2,696,29,734,2946.907864
Boston,14,3,350,10,362,1453.379628
Boston,14,4,405,22,429,1722.375305
Boston,14,5,295,12,308,1236.577142
Boston,14,6,292,16,312,1252.636585
Boston,14,7,315,18,336,1348.993246
Boston,14,8,411,9,421,1690.256418
Boston,14,9,249,13,266,1067.952986
Boston,14,10,343,14,364,1461.409349
Boston,14,11,246,9,258,1035.834099
Boston,14,12,226,8,235,943.4922998
Boston,14,13,331,11,347,1393.156715
Boston,14,14,403,14,418,1678.211835
Boston,15,1,401,21,427,1714.345583
Boston,15,2,263,12,276,1108.101595
Boston,15,3,179,23,206,827.0613351
Boston,15,4,466,69,544,2184.084302
Boston,15,5,340,12,359,1441.335045
Boston,15,6,178,105,288,1156.279925
Boston,15,7,251,20,272,1092.042151
Boston,15,8,203,66,273,1096.057012
Boston,15,9,240,70,314,1260.666307
Boston,16,1,259,106,375,1505.572819
Boston,16,2,175,168,346,1389.141854
Boston,16,3,363,117,484,1943.192651
Boston,16,4,300,155,461,1850.850852
Boston,16,5,344,223,575,2308.544989
Boston,16,6,462,163,631,2533.377196
Boston,16,7,325,331,664,2665.867605
Boston,16,8,411,272,691,2774.268847
Boston,16,9,321,491,825,3312.260201
Boston,16,10,247,301,554,2224.232911
Boston,16,11,393,362,764,3067.35369
Boston,16,12,365,459,833,3344.379088
Boston,17,1,315,22,338,1357.022967
Boston,17,2,233,36,273,1096.057012
Boston,17,3,577,53,639,2565.496083
Boston,17,4,699,123,831,3336.349366
Boston,17,5,214,13,229,919.4031347
Boston,17,6,457,61,524,2103.787085
Boston,17,7,221,10,231,927.4328564
Boston,17,8,370,20,391,1569.810592
Boston,17,9,402,59,464,1862.895434
Boston,17,10,477,24,506,2031.51959
Boston,17,11,168,19,192,770.8532832
Boston,17,12,367,54,425,1706.315861
Boston,17,13,502,207,723,2902.744395
Boston,17,14,385,95,482,1935.16293
Boston,18,1,662,31,704,2826.462039
Boston,18,2,531,12,548,2200.143746
Boston,18,3,617,14,636,2553.451501
Boston,18,4,559,29,594,2384.827345
Boston,18,5,670,37,714,2866.610647
Boston,18,6,761,62,830,3332.334506
Boston,18,7,420,125,551,2212.188328
Boston,18,8,851,171,1033,4147.351258
Boston,18,9,499,215,723,2902.744395
Boston,18,10,754,250,1015,4075.083763
Boston,18,11,387,92,482,1935.16293
Boston,18,12,457,238,709,2846.536343
Boston,18,13,287,71,361,1449.364767
Boston,18,14,291,59,354,1421.260741
Boston,18,15,487,57,547,2196.128885
Boston,18,16,468,448,923,3705.716565
Boston,18,17,449,224,685,2750.179682
Boston,18,18,537,259,805,3231.962984
Boston,18,19,671,278,962,3862.296138
Boston,18,20,492,470,978,3926.533911
Boston,18,21,734,32,772,3099.472576
Boston,18,22,523,366,901,3617.389626
Boston,18,23,349,46,399,1601.929479
Boston,19,1,652,53,707,2838.506621
Boston,19,2,744,371,1124,4512.703596
Boston,19,3,589,113,708,2842.521482
Boston,19,4,823,79,908,3645.493652
Boston,19,5,717,98,823,3304.23048
Boston,19,6,950,86,1046,4199.544449
Boston,19,7,699,125,833,3344.379088
Boston,19,8,502,75,586,2352.708458
Boston,19,9,442,64,507,2035.534451
Boston,19,10,642,187,837,3360.438532
Boston,19,11,342,45,391,1569.810592
Boston,19,12,450,114,569,2284.455824
Boston,19,13,389,123,517,2075.68306
Boston,20,1,517,263,800,3211.88868
Boston,20,2,590,244,842,3380.512836
Boston,20,3,430,390,829,3328.319645
Boston,20,4,582,156,746,2995.086194
Boston,20,5,457,462,929,3729.80573
Boston,20,6,549,491,1043,4187.499867
Boston,20,7,359,267,631,2533.377196
Boston,20,8,413,221,637,2557.466362
Boston,20,9,397,265,672,2697.986491
Boston,20,10,512,576,1100,4416.346935
Boston,20,11,300,225,527,2115.831668
Boston,20,12,339,360,706,2834.49176
Boston,20,13,289,287,583,2340.663876
Boston,20,14,316,353,675,2710.031074
Boston,20,15,476,515,1001,4018.875711
Boston,20,16,473,570,1055,4235.678197
Boston,20,17,549,616,1177,4725.491221
Boston,20,18,307,264,577,2316.574711
Boston,20,19,310,344,663,2661.852744
Boston,20,20,505,424,936,3757.909756
Boston,21,1,452,157,618,2481.184005
Boston,21,2,116,33,150,602.2291275
Boston,21,3,282,71,360,1445.349906
Boston,21,4,206,69,280,1124.161038
Boston,21,5,336,92,434,1742.449609
Boston,21,6,353,116,476,1911.073765
Boston,21,7,312,125,443,1778.583357
Boston,21,8,389,133,527,2115.831668
Boston,21,9,386,144,533,2139.920833
Boston,21,10,317,147,468,1878.954878
Boston,21,11,402,207,614,2465.124562
Boston,21,12,429,272,704,2826.462039
Boston,21,13,528,463,1005,4034.935154
Boston,21,14,276,82,361,1449.364767
Boston,21,15,343,124,474,1903.044043
Boston,21,16,499,230,741,2975.01189
Boston,22,1,533,214,756,3035.234803
Boston,22,2,514,188,710,2850.551204
Boston,22,3,439,233,685,2750.179682
Boston,22,4,342,193,544,2184.084302
Boston,22,5,229,120,359,1441.335045
Boston,22,6,262,138,403,1617.988923
Boston,22,7,406,181,596,2392.857067
Boston,22,8,329,276,615,2469.139423
Boston,22,9,331,222,556,2232.262633
Boston,22,10,477,262,751,3015.160498
Boston,22,11,249,202,456,1830.776548
Boston,22,12,279,180,471,1890.99946
Boston,22,13,245,184,435,1746.46447
Bourne,-,1,460,874,1349,3320.227511
Bourne,-,2,487,1018,1518,3736.178919
Bourne,-,3,362,633,1003,2468.634687
Bourne,-,4,516,952,1489,3664.802641
Bourne,-,5,579,998,1594,3923.23399
Bourne,-,6,405,662,1073,2640.922253
Boxborough,-,1,1141,1087,2249,4996
Boxford,-,1,382,888,1275,2478.129575
Boxford,-,2,431,1021,1460,2837.701318
Boxford,-,3,426,928,1363,2649.169107
Boylston,-,1,729,1321,2073,4355
Braintree,-,1,498,875,1386,3279.78709
Braintree,-,2,456,757,1233,2917.732671
Braintree,-,3,504,762,1283,3036.051109
Braintree,-,4,498,773,1287,3045.516584
Braintree,-,5,453,876,1339,3168.567759
Braintree,-,6,416,626,1058,2503.61814
Braintree,-,7,469,690,1177,2785.216021
Braintree,-,8,354,590,952,2252.783052
Braintree,-,9,555,895,1466,3469.096591
Braintree,-,10,454,729,1198,2834.909765
Braintree,-,11,471,887,1369,3239.558822
Braintree,-,12,484,860,1357,3211.162397
Brewster,-,1,816,941,1786,3334.319392
Brewster,-,2,831,900,1747,3261.509506
Brewster,-,3,783,910,1727,3224.171103
Bridgewater,-,1,524,1224,1761,5184.819663
Bridgewater,-,2,475,1181,1671,4919.837397
Bridgewater,-,3,532,1277,1822,5364.418754
Bridgewater,-,4,173,374,557,1639.945799
Bridgewater,-,5,375,700,1085,3194.508424
Bridgewater,-,6,263,468,741,2181.68732
Bridgewater,-,7,452,914,1385,4077.782642
Brimfield,-,1,489,995,1507,3609
Brockton,1,A,389,272,668,2894.46097
Brockton,1,B,550,480,1036,4489.014319
Brockton,1,C,410,352,768,3327.76351
Brockton,1,D,583,743,1335,5784.588915
Brockton,2,A,304,52,361,1564.222171
Brockton,2,B,302,90,400,1733.210162
Brockton,2,C,234,73,311,1347.570901
Brockton,2,D,356,303,671,2907.460046
Brockton,3,A,378,244,632,2738.472055
Brockton,3,B,364,147,517,2240.174134
Brockton,3,C,539,724,1279,5541.939492
Brockton,3,D,512,666,1192,5164.966282
Brockton,4,A,242,106,352,1525.224942
Brockton,4,B,460,327,794,3440.422171
Brockton,4,C,474,444,924,4003.715473
Brockton,4,D,508,409,931,4034.046651
Brockton,5,A,366,160,539,2335.500693
Brockton,5,B,474,396,877,3800.063279
Brockton,5,C,405,258,670,2903.127021
Brockton,5,D,471,509,991,4294.028176
Brockton,6,A,300,272,575,2491.489607
Brockton,6,B,411,516,939,4068.710855
Brockton,6,C,432,439,878,3804.396305
Brockton,6,D,473,594,1076,4662.335335
Brockton,7,A,334,141,483,2092.85127
Brockton,7,B,535,256,803,3479.4194
Brockton,7,C,505,242,756,3275.767206
Brockton,7,D,457,423,892,3865.058661
Brookfield,-,1,430,813,1275,3390
Brookline,-,1,916,287,1210,3437.111627
Brookline,-,2,650,197,853,2423.021668
Brookline,-,3,1013,310,1329,3775.141613
Brookline,-,4,794,277,1075,3053.632231
Brookline,-,5,965,273,1248,3545.053976
Brookline,-,6,1130,229,1365,3877.402786
Brookline,-,7,967,290,1269,3604.706326
Brookline,-,8,1051,220,1280,3635.952796
Brookline,-,9,1002,248,1262,3584.822209
Brookline,-,10,877,318,1202,3414.386922
Brookline,-,11,1061,291,1358,3857.518669
Brookline,-,12,1099,320,1428,4056.359837
Brookline,-,13,942,344,1293,3672.880441
Brookline,-,14,987,455,1452,4124.533952
Brookline,-,15,875,654,1535,4360.302766
Brookline,-,16,983,523,1517,4309.17218
Buckland,-,1,522,263,800,1902
Burlington,-,1,651,1086,1748,4574.565111
Burlington,-,2,528,779,1319,3451.860058
Burlington,-,3,717,1039,1763,4613.820532
Burlington,-,4,542,716,1267,3315.774597
Burlington,-,5,633,1041,1683,4404.458284
Burlington,-,6,589,979,1581,4137.521419
Cambridge,1,1,825,372,1204,3886.639285
Cambridge,1,2,627,219,862,2782.62713
Cambridge,1,3,652,209,877,2831.048715
Cambridge,2,1,721,63,799,2579.256469
Cambridge,2,2,148,58,208,671.4459895
Cambridge,2,3,112,47,162,522.9531264
Cambridge,3,1,615,181,806,2601.853209
Cambridge,3,2,811,124,946,3053.78801
Cambridge,3,3,627,58,689,2224.16484
Cambridge,4,1,1016,99,1127,3638.075145
Cambridge,4,2,1073,139,1227,3960.885717
Cambridge,4,3,361,57,420,1355.804402
Cambridge,5,1,1059,162,1227,3960.885717
Cambridge,5,2,1100,118,1225,3954.429505
Cambridge,5,3,1184,166,1358,4383.767566
Cambridge,6,1,1048,157,1217,3928.60466
Cambridge,6,2,976,126,1113,3592.881665
Cambridge,6,3,1035,161,1205,3889.867391
Cambridge,7,1,1071,123,1201,3876.954968
Cambridge,7,2,479,69,552,1781.914357
Cambridge,7,3,283,48,333,1074.959204
Cambridge,8,1,678,104,786,2537.291095
Cambridge,8,2,1044,167,1216,3925.376554
Cambridge,8,3,216,32,251,810.2545354
Cambridge,9,1,1226,223,1457,4703.350032
Cambridge,9,2,1149,305,1474,4758.227829
Cambridge,9,3,1018,290,1317,4251.415232
Cambridge,10,1,1296,195,1498,4835.702367
Cambridge,10,2,1289,168,1464,4725.946772
Cambridge,10,3,758,94,857,2766.486601
Cambridge,11,1,544,63,615,1985.285017
Cambridge,11,2,1126,251,1389,4483.838843
Cambridge,11,3,1206,279,1495,4826.01805
Canton,-,1,592,896,1501,3355.771568
Canton,-,2,698,937,1647,3682.182393
Canton,-,3,653,938,1606,3590.519079
Canton,-,4,608,1110,1735,3878.923165
Canton,-,5,624,1034,1673,3740.310348
Canton,-,6,613,855,1482,3313.293447
Carlisle,-,1,1442,1215,2671,4852
Carver,-,1,540,1096,1672,3902.463598
Carver,-,2,492,1077,1598,3729.746907
Carver,-,3,579,1049,1661,3876.789495
Charlemont,-,1,278,176,464,1266
Charlton,-,1,467,1061,1554,4219.300146
Charlton,-,2,388,1245,1640,4452.800669
Charlton,-,3,417,1155,1587,4308.899184
Chatham,-,1,703,1051,1768,2929.131728
Chatham,-,2,787,1128,1929,3195.868272
Chelmsford,-,1,633,992,1639,3631.693084
Chelmsford,-,2,532,821,1370,3035.643396
Chelmsford,-,3,592,997,1617,3582.945526
Chelmsford,-,4,488,1019,1519,3365.797312
Chelmsford,-,5,650,1020,1685,3733.619797
Chelmsford,-,6,687,1123,1832,4059.342117
Chelmsford,-,7,721,1207,1939,4296.432514
Chelmsford,-,8,734,1117,1858,4116.952868
Chelmsford,-,9,657,1125,1796,3979.573386
Chelsea,1,1,96,44,145,1224.355497
Chelsea,1,2,70,29,100,844.3831013
Chelsea,1,3,125,49,179,1511.445751
Chelsea,1,4,128,58,190,1604.327892
Chelsea,2,1,391,247,657,5547.596976
Chelsea,2,2,119,38,157,1325.681469
Chelsea,2,3,79,26,108,911.9337494
Chelsea,2,4,98,46,149,1258.130821
Chelsea,3,1,127,59,190,1604.327892
Chelsea,3,2,209,92,304,2566.924628
Chelsea,3,3,167,72,244,2060.294767
Chelsea,3,4,149,94,249,2102.513922
Chelsea,4,1,221,180,410,3461.970715
Chelsea,4,2,218,187,414,3495.746039
Chelsea,4,3,215,215,441,3723.729477
Chelsea,4,4,156,67,229,1933.637302
Cheshire,-,1,740,436,1192,3235
Chester,-,1,194,292,498,1337
Chesterfield,-,1,264,242,510,1222
Chicopee,1,A,396,544,958,3367.157186
Chicopee,1,B,538,641,1211,4256.395983
Chicopee,2,A,120,85,212,745.1329054
Chicopee,2,B,193,155,357,1254.775694
Chicopee,2,CN,56,65,122,428.8028984
Chicopee,2,CS,68,63,133,467.4654548
Chicopee,2,D,220,331,563,1978.819933
Chicopee,3,AE,125,134,264,927.9013538
Chicopee,3,AW,226,337,579,2035.056378
Chicopee,3,B,189,177,380,1335.615585
Chicopee,3,C,200,163,369,1296.953029
Chicopee,4,A,236,268,514,1806.595818
Chicopee,4,B,206,217,433,1521.898811
Chicopee,4,C,349,398,767,2695.834615
Chicopee,5,A,337,434,787,2766.130172
Chicopee,5,B,418,449,881,3096.519291
Chicopee,6,AN,123,130,259,910.3274646
Chicopee,6,AS,296,381,691,2428.711498
Chicopee,6,BE,370,646,1025,3602.647302
Chicopee,6,BW,90,123,218,766.2215725
Chicopee,7,A,305,260,590,2073.718935
Chicopee,7,B,321,306,647,2274.061272
Chicopee,8,A,385,472,881,3096.519291
Chicopee,8,B,350,419,787,2766.130172
Chicopee,9,A,418,522,957,3363.642408
Chicopee,9,B,511,623,1148,4034.964978
Chilmark,-,1,366,142,520,866
Clarksburg,-,1,395,186,587,1702
Clinton,-,1,493,773,1284,3928.514504
Clinton,-,2,368,531,913,2793.406341
Clinton,-,3,375,785,1173,3588.899933
Clinton,-,4,427,636,1077,3295.179222
Cohasset,-,1,722,1265,1998,3926.241793
Cohasset,-,2,697,1136,1840,3615.758207
Colrain,-,1,401,249,669,1671
Concord,-,1,824,551,1380,2771.293476
Concord,-,2,1194,682,1900,3815.548988
Concord,-,3,1145,722,1880,3775.385315
Concord,-,4,1084,670,1762,3538.419641
Concord,-,5,1208,652,1876,3767.35258
Conway,-,1,685,303,994,1897
Cummington,-,1,306,130,442,872
Dalton,-,1,691,424,1136,3328.194276
Dalton,-,2,733,421,1170,3427.805724
Danvers,-,1,451,684,1155,3031.74626
Danvers,-,2,515,749,1276,3349.357773
Danvers,-,3,405,725,1145,3005.497374
Danvers,-,4,414,780,1203,3157.74091
Danvers,-,5,465,807,1287,3378.231547
Danvers,-,6,460,925,1393,3656.469731
Danvers,-,7,446,788,1243,3262.736451
Danvers,-,8,495,889,1391,3651.219954
Dartmouth,-,1,424,643,1079,3328.546773
Dartmouth,-,2,313,432,756,2332.142132
Dartmouth,-,3,162,211,378,1166.071066
Dartmouth,-,4,525,529,1068,3294.613488
Dartmouth,-,5,602,685,1301,4013.382161
Dartmouth,-,6,575,532,1117,3445.770848
Dartmouth,-,7,545,650,1202,3707.982596
