right,left,totalpop
867,683,3313
99,189,977
208,305,894
0,0,73
373,69,1148
0,0,163
211,559,2909
25,318,1566
197,133,925
154,99,832
44,42,387
227,99,764
13,420,1073
262,135,1406
100,602,2446
946,333,4104
669,96,3945
39,21,161
88,192,855
36,257,1831
52,66,361
0,0,0
249,187,3903
229,568,1597
1195,709,7502
1,0,10
274,653,2948
0,0,975
148,129,558
254,166,2839
59,151,599
377,169,1099
72,21,195
425,471,5283
132,60,418
1767,688,6912
235,159,1573
609,349,1717
182,48,527
9,377,1203
130,179,1196
167,381,1467
96,54,332
411,190,1171
110,175,776
12,1208,4122
178,50,532
54,467,1540
128,1308,4056
20,394,1664
394,254,1508
93,148,545
85,85,419
74,476,2045
207,142,667
207,270,1378
487,577,4202
29,955,2196
24,696,2023
5,20,101
161,55,583
55,332,1064
103,71,399
547,479,3701
1054,428,3743
152,72,533
1124,295,4149
1062,308,3773
136,380,1243
60,84,367
204,257,1254
14,256,631
82,18,212
202,81,582
0,0,457
52,142,386
27,28,79
12,7,53
161,84,540
223,62,559
103,250,839
77,37,258
105,12,226
35,4,152
313,119,1387
171,48,804
201,65,638
32,335,1016
149,60,585
221,49,445
35,170,596
164,48,292
64,171,596
330,580,2544
22,183,616
0,0,344
0,0,1914
0,0,105
73,17,236
136,109,504
128,40,430
0,0,2483
147,513,1424
567,219,2046
266,336,1336
27,38,111
135,239,887
137,107,453
7,37,193
352,768,2991
110,66,533
43,391,932
183,106,730
117,78,339
127,45,565
0,0,659
10,150,524
0,0,886
304,754,2871
142,336,1645
215,466,1004
87,15,315
62,16,85
1,251,665
76,63,303
97,214,614
7,203,848
469,762,3393
215,174,851
0,0,385
120,183,743
50,270,708
0,0,318
0,0,748
0,0,279
0,0,1725
0,0,790
42,98,402
0,0,614
160,43,554
283,534,2449
189,912,2539
0,0,1807
271,196,2287
0,0,236
204,219,759
0,0,194
0,0,266
0,0,1310
0,0,279
0,0,326
105,341,1151
201,464,1460
0,0,239
132,34,529
196,39,629
117,123,551
0,0,407
0,0,459
102,237,549
591,104,1669
53,37,148
25,30,203
0,0,310
560,260,2002
0,0,1486
45,145,706
429,288,1922
92,54,291
16,13,81
0,0,74
17,143,505
0,0,609
128,281,845
0,0,627
0,0,1583
21,17,135
128,70,566
0,0,559
0,0,212
203,425,1120
11,29,18
104,333,1700
229,248,725
47,4,128
0,0,71
42,135,158
85,93,250
83,187,651
0,0,286
12,156,354
0,0,289
132,146,587
45,21,112
54,194,582
134,425,1419
0,0,274
49,554,1282
0,0,530
0,0,7118
208,27,694
36,162,549
212,64,677
0,0,124
333,163,1480
85,153,1034
156,189,753
135,166,1694
49,37,266
46,130,333
112,73,414
318,39,845
74,128,358
0,0,552
0,0,271
0,0,358
416,212,1081
0,0,690
102,74,176
141,29,364
202,43,618
161,252,718
0,0,1561
710,198,2165
268,30,1122
86,74,89
12,25,62
87,18,386
0,0,965
0,0,3142
35,46,685
52,10,59
0,0,1410
0,0,1464
50,418,1633
0,0,824
0,0,946
194,36,754
0,0,30
0,0,1062
226,41,629
0,0,868
70,114,873
51,22,489
169,34,473
92,137,3842
436,188,2547
244,305,1624
196,76,632
44,229,714
0,0,356
59,116,230
436,122,1682
0,0,37
0,0,721
67,17,147
61,671,2700
42,89,623
124,20,667
105,221,731
367,97,1062
0,0,510
97,42,195
566,169,2028
97,42,356
187,51,755
103,195,1050
118,85,393
67,4,166
189,39,717
223,29,767
177,33,640
242,29,734
279,109,1551
58,110,314
212,79,441
123,480,1682
0,0,842
379,461,2736
20,42,673
110,20,313
155,715,2934
92,178,829
61,315,1098
97,365,1302
218,91,1374
59,218,826
83,59,240
302,82,976
40,75,103
183,47,674
173,105,1004
0,0,512
0,0,242
163,37,355
0,0,596
92,54,362
115,14,329
0,0,943
390,49,1158
202,253,1359
272,103,1106
0,0,322
136,374,2315
163,189,799
117,40,358
167,20,838
213,36,672
108,26,527
221,233,2918
4,79,82
3,271,1355
42,75,358
232,126,859
0,638,2159
827,370,2630
155,20,188
5,541,2088
95,69,405
154,29,708
16,222,475
14,594,2259
71,102,488
19,142,617
583,240,1900
322,234,2639
164,20,555
1193,277,10393
838,278,6338
34,101,528
448,134,1863
68,119,485
223,40,590
341,24,790
412,88,1486
550,68,1242
286,58,879
342,82,971
878,173,2148
273,22,763
371,41,979
54,95,686
289,29,855
233,323,1804
153,44,489
90,42,915
73,140,731
179,137,783
153,293,1359
804,100,3530
828,146,2476
471,130,1553
154,33,917
135,54,260
229,655,1650
234,29,774
270,42,1372
465,281,1610
365,119,1785
205,105,1816
108,19,292
1338,377,7913
374,93,998
167,28,417
259,81,848
64,14,183
105,10,339
628,167,2048
78,512,1383
736,98,2113
165,100,1110
143,179,648
354,114,1221
81,55,566
896,180,2944
1616,309,4679
678,204,3733
316,904,3406
300,439,1092
1592,199,2989
2329,365,4346
241,32,1028
146,37,504
337,106,1656
260,39,917
68,439,2594
698,87,2818
2545,672,9630
2133,411,6078
929,388,3480
1727,212,4501
636,124,1603
103,112,1213
51,259,1104
378,108,1419
168,114,950
1176,248,3423
522,188,1742
159,70,638
1462,657,5372
950,268,3286
691,267,3482
669,329,5942
879,291,3529
305,346,2199
1154,374,4379
434,186,2968
2,360,622
90,13,302
80,79,646
150,1124,1902
51,721,4130
103,1625,3738
798,377,3557
634,489,3595
1847,415,2247
712,220,4049
253,85,2331
291,85,1034
1514,284,5297
490,179,1835
258,915,4821
307,201,1183
284,29,1083
190,43,649
212,15,599
805,256,2311
391,67,1006
371,318,2226
336,77,1514
491,216,1955
183,37,838
929,306,4040
2350,408,16322
68,110,632
28,814,1839
95,623,2275
181,517,1980
9,165,285
1411,239,2485
184,148,1475
47,1596,3233
1173,154,7630
62,16,162
203,523,3838
281,38,669
189,469,1759
67,321,1688
408,330,2877
44,353,1567
41,487,1628
121,731,2576
70,12,394
32,1095,2537
414,214,1671
51,164,1093
81,545,1850
172,505,2849
196,398,3435
1133,227,2131
27,41,405
132,105,582
155,230,1476
30,871,2096
448,822,3604
19,734,2192
964,222,4329
621,241,2081
13,193,461
964,291,2873
1476,475,3811
1091,217,2255
558,75,2022
39,546,2343
25,976,1713
22,513,976
301,312,1649
421,93,1243
37,255,696
162,56,485
805,214,2121
9,835,2125
17,441,961
131,324,1022
110,250,1738
317,918,2934
9,409,1003
319,129,846
479,131,1340
506,505,2766
55,55,248
676,102,1176
2015,398,6645
18,841,1861
536,109,1238
88,528,2128
137,66,442
315,76,840
708,164,1577
801,394,3305
353,106,1597
694,163,2243
122,288,2400
6,388,798
559,119,1707
281,83,995
8,313,659
48,370,1236
21,207,811
165,57,705
9,771,1474
859,298,3970
51,281,1077
1019,376,3525
25,143,816
24,458,1634
449,267,1961
937,184,2976
83,443,2518
167,230,1777
111,174,1916
322,198,1303
11,457,1047
13,332,927
8,210,679
842,195,2354
0,0,1338
20,325,1388
143,44,579
122,106,561
5,104,589
8,326,1023
4,288,861
31,502,1724
181,774,2492
683,431,3556
189,24,756
1827,187,6386
32,242,1280
86,22,435
13,367,1154
170,194,1725
