City/Town,Ward,Pct,Edward J. Markey,Gabriel E. Gomez,Total Votes Cast,pop by share of vote
Boston,1,8,241,76,324,2167.1607767537066
Boston,1,9,122,31,156,1043.4477813999329
Boston,1,10,76,24,101,675.5655507781617
Boston,1,11,220,143,369,2468.1553290806105
Boston,1,12,193,159,353,2361.1350438088225
Boston,1,13,285,144,432,2889.5477023382755
Boston,1,14,109,83,192,1284.243423261456
Boston,1,15,0,0,0,0.0
Boston,2,1,321,203,528,3531.6694139690035
Boston,2,2,335,192,530,3545.0469496279766
Boston,2,3,286,161,453,3030.011826757497
Boston,2,4,171,117,292,1953.1202062101306
Boston,2,5,237,164,405,2708.9509709421336
Boston,2,6,339,198,545,3645.378467070278
Boston,2,7,224,157,383,2561.7980786934245
Boston,3,1,530,402,939,6280.752991888058
Boston,3,2,226,155,385,2575.1756143523985
Boston,3,3,168,106,275,1839.4111531088558
Boston,3,4,221,150,371,2481.532864739584
Boston,3,5,525,238,765,5116.907389557363
Boston,3,6,496,267,770,5150.351228704797
Boston,3,7,836,167,1009,6748.9667399521295
Boston,3,8,629,165,799,5344.325495759913
Boston,4,1,521,138,661,4421.275535290742
Boston,4,2,523,197,720,4815.912837230459
Boston,4,3,312,41,354,2367.823811638309
Boston,4,4,435,91,527,3524.980646139517
Boston,4,5,326,69,397,2655.4408283062394
Boston,4,6,243,80,325,2173.8495445831936
Boston,4,7,211,36,247,1652.125653883227
Boston,4,8,196,52,249,1665.5031895422005
Boston,4,9,100,5,105,702.3206220961087
Boston,4,10,43,14,57,381.2597662807447
Boston,5,1,875,198,1075,7190.4254166982555
Boston,5,2,183,33,218,1458.1513868281113
Boston,5,2A,122,35,158,1056.8253170589064
Boston,5,3,346,182,529,3538.35818179849
Boston,5,4,355,135,492,3290.8737721074804
Boston,5,5,151,80,232,1551.794136440926
Boston,5,6,289,196,486,3250.74116513056
Boston,5,7,349,199,550,3678.8223062177117
Boston,5,8,326,159,486,3250.74116513056
Boston,5,9,402,202,609,4073.45960815743
Boston,5,10,240,83,323,2160.47200892422
Boston,5,11,268,122,392,2621.9969891588057
Boston,6,1,467,199,671,4488.163213585609
Boston,6,2,157,87,247,1652.125653883227
Boston,6,3,187,133,325,2173.8495445831936
Boston,6,4,168,169,343,2294.247365513955
