City/Town,TOWN_ID,Sen13D,Sen13R,POP2010
Newburyport,206,2779,1941,17416
Newton,207,16389,5398,85146
Norfolk,208,755,1383,11227
North Adams,209,1115,413,13708
North Andover,210,2105,3140,28352
North Attleborough,211,2868,4273,28712
North Brookfield,212,270,626,4680
North Reading,213,1171,1792,14892
Northampton,214,8552,2086,28549
Northborough,215,1560,1903,14155
Northbridge,216,774,1662,15707
Northfield,217,395,251,3032
Norton,218,1069,1534,19031
Norwell,219,980,1643,10506
Norwood,220,2748,2987,28602
Oak Bluffs,221,726,395,4527
Oakham,222,152,336,1902
Orange,223,492,681,7839
Orleans,224,1219,1095,5890
Otis,225,157,121,1612
Oxford,226,740,1408,13709
Palmer,227,927,1243,12140
Paxton,228,404,730,4806
Peabody,229,4703,4849,51251
Pelham,230,427,56,1321
Pembroke,231,1163,2093,17837
Pepperell,232,865,1403,11497
Peru,233,84,54,847
Petersham,234,193,194,1234
Phillipston,235,107,196,1682
Pittsfield,236,4414,1601,44737
Plainfield,237,165,48,648
Plainville,238,512,885,8264
Plymouth,239,4491,6232,56468
Plympton,240,266,420,2820
Princeton,241,466,661,3413
Provincetown,242,957,111,2942
Quincy,243,7897,7197,92271
Randolph,244,3548,1523,32112
Raynham,245,716,1222,13383
Reading,246,2606,2689,24747
Rehoboth,247,596,1003,11608
Revere,248,3568,2322,51755
Richmond,249,319,95,1475
Rochester,250,372,777,5232
Rockland,251,1175,1605,17489
Rockport,252,1250,917,6952
Rowe,253,56,38,393
Rowley,254,507,825,5856
Royalston,255,145,127,1258
Russell,256,73,205,1775
Rutland,257,607,1149,7973
Salem,258,4090,2400,41340
Salisbury,259,647,816,8283
Sandisfield,260,99,41,915
Sandwich,261,1922,3062,20675
Saugus,262,2163,2630,26628
Savoy,263,57,35,692
Scituate,264,2082,2898,18133
Seekonk,265,747,914,13722
Sharon,266,2583,1285,17612
Sheffield,267,466,184,3257
Shelburne,268,394,137,1893
Sherborn,269,694,651,4119
Shirley,270,545,749,7211
Shrewsbury,271,3107,4052,35608
Shutesbury,272,569,94,1771
Somerset,273,1540,1349,18165
Somerville,274,11614,2281,75754
South Hadley,275,1837,1622,17514
Southampton,276,613,808,5792
Southborough,277,1070,1245,9767
Southbridge,278,1290,1425,16719
Southwick,279,502,1268,9502
Spencer,280,633,1201,11688
Springfield,281,10400,5194,153060
Sterling,282,646,1317,7808
Stockbridge,283,422,107,1947
Stoneham,284,2665,2557,21437
Stoughton,285,2515,2393,26962
Stow,286,1032,879,6590
Sturbridge,287,733,1174,9268
Sudbury,288,3187,2310,17659
Sunderland,289,488,203,3684
Sutton,290,571,1420,8963
Swampscott,291,2000,1378,13787
Swansea,292,800,921,15865
Taunton,293,3335,3355,55874
Templeton,294,734,1205,8013
Tewksbury,295,2121,3289,28961
Tisbury,296,660,271,3949
Tolland,297,32,89,485
Topsfield,298,708,1067,6085
Townsend,299,593,1162,8926
Truro,300,492,202,2003
Tyngsborough,301,752,1382,11292
Tyringham,302,91,33,327
Upton,303,609,901,7542
Uxbridge,304,773,1470,13457
Wakefield,305,2648,2893,24932
Wales,306,217,271,1838
Walpole,307,2038,3140,24070
Waltham,308,5567,3730,60632
Ware,309,537,771,9872
Wareham,310,1687,2061,21822
Warren,311,316,487,5135
Warwick,312,131,70,780
Washington,313,90,50,538
Watertown,314,4972,1907,31915
Wayland,315,2313,1303,12994
Webster,316,837,1357,16767
Wellesley,317,4164,3151,27982
Wellfleet,318,763,349,2750
Wendell,319,235,56,848
Wenham,320,409,545,4875
West Boylston,321,656,1137,7669
West Bridgewater,322,434,861,6916
West Brookfield,323,320,459,3701
West Newbury,324,550,634,4235
West Springfield,325,1567,2450,28391
West Stockbridge,326,326,83,1306
West Tisbury,327,649,189,2740
Westborough,328,1879,1870,18272
Westfield,329,2213,3691,41094
Westford,330,2095,2689,21951
Westhampton,331,250,208,1607
Westminster,332,518,1031,7277
Weston,333,1549,1431,11261
Westport,334,1199,1238,15532
Westwood,335,1794,2210,14618
Weymouth,336,4523,5504,53743
Whately,337,231,145,1496
Whitman,338,1131,1716,14489
Wilbraham,339,1129,2086,14219
Williamsburg,340,603,199,2482
Williamstown,341,1301,282,7754
Wilmington,342,1715,2668,22325
Winchendon,343,498,717,10300
Winchester,344,3438,2932,21374
Windsor,345,130,65,899
Winthrop,346,1870,1462,17497
Woburn,347,3494,3921,38120
Worcester,348,12408,8601,181045
Worthington,349,212,133,1156
Wrentham,350,699,1368,10955
Yarmouth,351,2782,3469,23793
