City/Town,Ward,Pct,Elizabeth A. Warren,Scott P. Brown,Total Votes Cast,pop by share of vote
Boston,6,5,486,574,1073,2598.5246783598213
Boston,6,6,447,628,1085,2627.5855321718605
Boston,6,7,403,588,997,2414.4726042169073
Boston,6,8,447,610,1065,2579.1507758184616
Boston,6,9,417,644,1074,2600.9464161774913
Boston,7,1,393,578,977,2366.0378478635093
Boston,7,2,504,738,1247,3019.907058634387
Boston,7,3,597,785,1399,3388.0112069202146
Boston,7,4,559,587,1164,2818.902819767784
Boston,7,5,484,366,866,2097.2249501021483
Boston,7,6,488,255,755,1828.4120523407878
Boston,7,7,526,115,656,1588.6600083914657
Boston,7,8,417,266,690,1670.9990941922429
Boston,7,9,519,214,741,1794.5077228934088
Boston,7,10,674,52,737,1784.8207716227291
Boston,8,1,587,95,686,1661.3121429215635
Boston,8,2,1074,285,1374,3327.4677614784664
Boston,8,3,714,45,765,1852.6294305174868
Boston,8,4,427,18,450,1089.7820179514629
Boston,8,5,807,60,877,2123.8640660965175
Boston,8,6,242,30,276,668.3996376768971
Boston,8,7,534,40,584,1414.2948855192317
Boston,9,1,999,169,1185,2869.7593139388523
Boston,9,2,1070,308,1395,3378.3242556495347
Boston,9,3,1618,161,1806,4373.658498711871
Boston,9,4,1153,104,1268,3070.763552805455
Boston,9,5,1228,59,1305,3160.367852059242
Boston,10,1,527,71,605,1465.1513796903
Boston,10,2,566,106,679,1644.3599781978737
Boston,10,3,537,112,658,1593.5034840268056
Boston,10,4,883,192,1100,2663.911599436909
Boston,10,5,628,154,795,1925.2815650475843
Boston,10,6,658,67,733,1775.1338203520495
Boston,10,7,990,64,1070,2591.2594649068114
Boston,10,8,927,161,1099,2661.489861619239
Boston,10,9,1242,188,1443,3494.5676708976907
Boston,11,1,583,38,629,1523.273087314378
Boston,11,2,959,48,1014,2455.642147117296
Boston,11,3,777,32,816,1976.1380592186524
Boston,11,4,1119,88,1225,2966.6288266456486
Boston,11,5,905,61,973,2356.3508965928295
Boston,11,6,765,90,863,2089.959736649139
Boston,11,7,1061,96,1166,2823.746295403124
Boston,11,8,1011,134,1153,2792.263703773415
Boston,11,9,634,86,725,1755.7599178106902
Boston,11,10,938,87,1035,2506.4986412883645
Boston,12,1,1060,31,1097,2656.646385983899
Boston,12,2,1369,41,1425,3450.9763901796323
Boston,12,3,695,34,734,1777.5555581697192
Boston,12,4,679,25,706,1709.7468992749616
Boston,12,5,543,13,559,1353.751440077484
Boston,12,6,540,26,571,1382.8122938895228
Boston,12,7,1375,53,1443,3494.5676708976907
Boston,12,8,487,17,512,1239.9297626469977
Boston,12,9,640,34,681,1649.2034538332139
Boston,13,1,871,40,915,2215.8901031679743
Boston,13,2,368,14,386,934.7907976205881
Boston,13,3,649,150,822,1990.668486124672
Boston,13,4,617,25,645,1562.0208923970968
Boston,13,5,535,59,604,1462.72964187263
Boston,13,6,758,134,903,2186.8292493559356
Boston,13,7,634,241,897,2172.298822449916
Boston,13,8,529,219,762,1845.364217064477
Boston,13,9,665,196,876,2121.4423282788475
Boston,13,10,785,442,1232,2983.580991369338
Boston,14,1,1317,62,1389,3363.7938287435154
Boston,14,2,1402,61,1472,3564.7980676101183
Boston,14,3,749,20,772,1869.5815952411763
Boston,14,4,831,39,876,2121.4423282788475
Boston,14,5,669,22,695,1683.1077832805925
Boston,14,6,643,23,671,1624.9860756565145
Boston,14,7,696,33,747,1809.038149799428
Boston,14,8,745,24,776,1879.2685465118557
Boston,14,9,826,27,870,2106.911901372828
Boston,14,10,756,22,787,1905.9076625062248
Boston,14,11,619,21,646,1564.4426302147667
Boston,14,12,481,15,503,1218.1341222879685
Boston,14,13,684,24,717,1736.3860152693308
Boston,14,14,750,30,791,1915.5946137769047
Boston,15,1,889,49,948,2295.8074511510818
Boston,15,2,631,23,656,1588.6600083914657
Boston,15,3,360,32,394,954.1647001619475
Boston,15,4,1034,123,1181,2860.0723626681724
Boston,15,5,760,36,806,1951.9206810419535
Boston,15,6,316,140,473,1145.481987757871
Boston,15,7,611,28,642,1554.7556789440869
Boston,15,8,492,121,629,1523.273087314378
Boston,15,9,535,151,697,1687.9512589159326
Boston,16,1,519,153,689,1668.577356374573
Boston,16,2,324,188,523,1266.5688786413666
Boston,16,3,751,180,941,2278.855286427392
Boston,16,4,631,212,852,2063.3206206547698
Boston,16,5,670,284,959,2322.446567145451
Boston,16,6,948,240,1194,2891.554954297881
Boston,16,7,538,385,931,2254.637908250693
Boston,16,8,692,345,1050,2542.8247085534135
Boston,16,9,507,554,1067,2583.994251453802
Boston,16,10,481,413,908,2198.937938444285
Boston,16,11,665,366,1034,2504.0769034706946
Boston,16,12,459,542,1011,2448.3769336642868
Boston,17,1,715,36,755,1828.4120523407878
Boston,17,2,481,51,540,1307.7384215417553
Boston,17,3,1107,83,1200,2906.085381203901
Boston,17,4,1158,188,1352,3274.189529489728
Boston,17,5,556,23,586,1419.1383611545716
Boston,17,6,807,94,912,2208.6248897149644
Boston,17,7,433,18,453,1097.0472314044725
Boston,17,8,711,42,758,1835.6772657937972
Boston,17,9,592,68,663,1605.6121731151552
Boston,17,10,1009,45,1057,2559.776873277103
Boston,17,11,361,30,393,951.7429623442775
Boston,17,12,615,65,684,1656.4686672862233
Boston,17,13,823,258,1097,2656.646385983899
Boston,17,14,704,92,798,1932.546778500594
Boston,18,1,1289,52,1347,3262.0808404013787
Boston,18,2,987,27,1024,2479.8595252939954
Boston,18,3,1144,46,1196,2896.398429933221
Boston,18,4,1094,45,1146,2775.3115390497255
Boston,18,5,1137,47,1192,2886.7114786625416
Boston,18,6,1263,87,1356,3283.876480760408
Boston,18,7,815,174,994,2407.207390763898
Boston,18,8,1482,214,1705,4129.062979127209
Boston,18,9,823,260,1099,2661.489861619239
Boston,18,10,1162,320,1497,3625.341513051866
Boston,18,11,812,129,949,2298.2291889687517
Boston,18,12,797,271,1073,2598.5246783598213
Boston,18,13,512,103,622,1506.3209225906887
Boston,18,14,557,80,646,1564.4426302147667
Boston,18,15,910,68,985,2385.4117504048686
Boston,18,16,718,481,1207,2923.0375459275906
Boston,18,17,803,257,1069,2588.837727089142
Boston,18,18,1041,286,1341,3247.5504134953594
Boston,18,19,1224,324,1594,3860.2500813658485
Boston,18,20,890,587,1488,3603.5458726928373
Boston,18,21,1265,42,1314,3182.1634924182717
Boston,18,22,817,430,1256,3041.7026989934166
Boston,18,23,719,51,779,1886.5337599648656
Boston,19,1,927,108,1047,2535.5594951004036
Boston,19,2,857,441,1308,3167.633065512252
Boston,19,3,735,152,893,2162.6118711792365
Boston,19,4,1076,116,1196,2896.398429933221
Boston,19,5,860,112,978,2368.4595856811793
Boston,19,6,1177,148,1336,3235.44172440701
Boston,19,7,1105,149,1260,3051.389650264096
Boston,19,8,615,98,717,1736.3860152693308
Boston,19,9,583,82,667,1615.2991243858348
Boston,19,10,1021,217,1246,3017.4853208167174
Boston,19,11,797,78,887,2148.0814442732167
Boston,19,12,695,128,838,2029.4162912073907
Boston,19,13,697,131,840,2034.2597668427306
