City/Town,Ward,Pct,Obama/ Biden,Romney/ Ryan,Total Votes Cast,pop by share of vote
Boston,14,2,1436,29,1472,3564.7980676101183
Boston,14,3,765,4,772,1869.5815952411763
Boston,14,4,851,21,876,2121.4423282788475
Boston,14,5,687,5,695,1683.1077832805925
Boston,14,6,651,13,671,1624.9860756565145
Boston,14,7,725,13,747,1809.038149799428
Boston,14,8,758,14,776,1879.2685465118557
Boston,14,9,843,13,870,2106.911901372828
Boston,14,10,770,12,787,1905.9076625062248
Boston,14,11,634,11,646,1564.4426302147667
Boston,14,12,489,10,503,1218.1341222879685
Boston,14,13,700,9,717,1736.3860152693308
Boston,14,14,778,5,791,1915.5946137769047
Boston,15,1,918,20,948,2295.8074511510818
Boston,15,2,648,7,656,1588.6600083914657
Boston,15,3,374,18,394,954.1647001619475
Boston,15,4,1069,101,1181,2860.0723626681724
Boston,15,5,769,22,806,1951.9206810419535
Boston,15,6,350,112,473,1145.481987757871
Boston,15,7,625,16,642,1554.7556789440869
Boston,15,8,528,86,629,1523.273087314378
Boston,15,9,572,114,697,1687.9512589159326
Boston,16,1,535,132,689,1668.577356374573
Boston,16,2,374,132,523,1266.5688786413666
Boston,16,3,793,134,941,2278.855286427392
Boston,16,4,671,165,852,2063.3206206547698
Boston,16,5,735,207,959,2322.446567145451
Boston,16,6,1006,165,1194,2891.554954297881
Boston,16,7,612,300,931,2254.637908250693
Boston,16,8,750,272,1050,2542.8247085534135
Boston,16,9,579,470,1067,2583.994251453802
Boston,16,10,559,320,908,2198.937938444285
Boston,16,11,718,291,1034,2504.0769034706946
Boston,16,12,555,439,1011,2448.3769336642868
Boston,17,1,731,19,755,1828.4120523407878
Boston,17,2,496,35,540,1307.7384215417553
Boston,17,3,1128,58,1200,2906.085381203901
Boston,17,4,1197,138,1352,3274.189529489728
Boston,17,5,568,10,586,1419.1383611545716
Boston,17,6,845,54,912,2208.6248897149644
Boston,17,7,439,13,453,1097.0472314044725
Boston,17,8,729,23,758,1835.6772657937972
Boston,17,9,615,37,663,1605.6121731151552
Boston,17,10,1033,20,1057,2559.776873277103
Boston,17,11,368,18,393,951.7429623442775
Boston,17,12,626,49,684,1656.4686672862233
Boston,17,13,878,194,1097,2656.646385983899
Boston,17,14,717,68,798,1932.546778500594
Boston,18,1,1309,34,1347,3262.0808404013787
Boston,18,2,1007,9,1024,2479.8595252939954
Boston,18,3,1178,16,1196,2896.398429933221
Boston,18,4,1116,23,1146,2775.3115390497255
Boston,18,5,1160,25,1192,2886.7114786625416
Boston,18,6,1298,49,1356,3283.876480760408
Boston,18,7,857,119,994,2407.207390763898
Boston,18,8,1538,154,1705,4129.062979127209
Boston,18,9,877,197,1099,2661.489861619239
Boston,18,10,1216,238,1497,3625.341513051866
Boston,18,11,844,91,949,2298.2291889687517
Boston,18,12,851,210,1073,2598.5246783598213
Boston,18,13,546,65,622,1506.3209225906887
Boston,18,14,568,67,646,1564.4426302147667
Boston,18,15,930,46,985,2385.4117504048686
Boston,18,16,789,390,1207,2923.0375459275906
Boston,18,17,851,203,1069,2588.837727089142
Boston,18,18,1091,234,1341,3247.5504134953594
Boston,18,19,1278,253,1594,3860.2500813658485
Boston,18,20,1012,449,1488,3603.5458726928373
Boston,18,21,1280,25,1314,3182.1634924182717
Boston,18,22,890,342,1256,3041.7026989934166
Boston,18,23,728,41,779,1886.5337599648656
Boston,19,1,946,58,1047,2535.5594951004036
Boston,19,2,893,381,1308,3167.633065512252
Boston,19,3,746,116,893,2162.6118711792365
Boston,19,4,1068,66,1196,2896.398429933221
Boston,19,5,864,78,978,2368.4595856811793
Boston,19,6,1186,95,1336,3235.44172440701
Boston,19,7,1105,100,1260,3051.389650264096
Boston,19,8,623,75,717,1736.3860152693308
Boston,19,9,592,60,667,1615.2991243858348
Boston,19,10,1046,167,1246,3017.4853208167174
Boston,19,11,827,42,887,2148.0814442732167
Boston,19,12,728,89,838,2029.4162912073907
Boston,19,13,728,93,840,2034.2597668427306
Boston,20,1,840,267,1139,2758.359374326036
Boston,20,2,956,218,1214,2939.98971065128
Boston,20,3,824,401,1255,3039.280961175746
Boston,20,4,796,160,994,2407.207390763898
Boston,20,5,724,448,1209,2927.88102156293
Boston,20,6,837,464,1324,3206.380870594971
Boston,20,7,560,242,828,2005.1989130306915
Boston,20,8,612,217,849,2056.05540720176
Boston,20,9,686,248,948,2295.8074511510818
Boston,20,10,866,591,1482,3589.0154457868175
Boston,20,11,435,201,648,1569.2861058501064
Boston,20,12,481,346,854,2068.1640962901092
Boston,20,13,487,291,795,1925.2815650475843
Boston,20,14,423,320,766,1855.0511683351567
Boston,20,15,815,507,1351,3271.767791672058
Boston,20,16,817,563,1408,3409.806847279244
Boston,20,17,873,607,1504,3642.293677775556
Boston,20,18,516,253,787,1905.9076625062248
Boston,20,19,464,330,809,1959.1858944949631
Boston,20,20,847,438,1315,3184.5852302359413
Boston,21,1,911,210,1164,2818.902819767784
Boston,21,2,657,107,792,1918.0163515945744
Boston,21,3,617,109,756,1830.8337901584575
Boston,21,4,500,76,608,1472.4165931433097
Boston,21,5,709,101,858,2077.851047560789
Boston,21,6,608,99,742,1796.9294607110785
Boston,21,7,725,133,890,2155.3466577262266
Boston,21,8,868,146,1054,2552.511659824093
Boston,21,9,896,170,1111,2690.550715431278
Boston,21,10,672,154,856,2073.007571925449
Boston,21,11,802,226,1069,2588.837727089142
Boston,21,12,740,273,1060,2567.0420867301123
Boston,21,13,915,461,1431,3465.5068170856516
Boston,21,14,515,98,635,1537.8035142203976
