City/Town,Ward,Pct,John F. Kerry,Michael E. Cloud,Total Votes Cast,,
Boston,5,8,670,177,958,,
Boston,5,9,870,210,"1,208",,
Boston,5,10,535,120,781,,
Boston,5,11,417,121,639,,
Boston,6,1,461,82,626,,
Boston,6,2,338,46,446,,
Boston,6,3,448,89,607,,
Boston,6,4,435,92,604,,
Boston,6,5,455,85,632,,
Boston,6,6,595,111,844,,
Boston,6,7,548,105,749,,
Boston,6,8,604,113,843,,
Boston,6,9,527,137,820,,
Boston,7,1,535,129,800,,
Boston,7,2,569,151,854,,
Boston,7,3,722,158,"1,081",,
Boston,7,4,556,105,770,,
Boston,7,5,366,64,518,,
Boston,7,6,344,55,470,,
Boston,7,7,287,33,388,,
Boston,7,8,286,52,416,,
Boston,7,9,274,49,399,,
Boston,7,10,243,18,387,,
Boston,8,1,178,15,240,,
Boston,8,2,526,48,665,,
Boston,8,3,186,10,243,,
Boston,8,4,121,4,169,,
Boston,8,5,253,10,370,,
Boston,8,6,108,9,147,,
Boston,8,7,230,10,308,,
Boston,9,1,481,52,663,,
Boston,9,2,684,83,873,,
Boston,9,3,669,43,872,,
Boston,9,4,348,12,488,,
Boston,9,5,520,27,734,,
Boston,10,1,234,33,310,,
Boston,10,2,298,28,429,,
Boston,10,3,301,47,404,,
Boston,10,4,485,40,634,,
Boston,10,5,357,52,492,,
Boston,10,6,244,30,352,,
Boston,10,7,304,25,451,,
Boston,10,8,437,57,576,,
Boston,10,9,581,60,827,,
Boston,11,1,263,18,329,,
Boston,11,2,337,14,417,,
Boston,11,3,252,10,327,,
Boston,11,4,424,40,587,,
Boston,11,5,358,37,563,,
Boston,11,6,290,37,407,,
Boston,11,7,469,42,671,,
Boston,11,8,425,48,605,,
Boston,11,9,349,39,528,,
Boston,11,10,421,37,636,,
Boston,12,1,452,25,575,,
Boston,12,2,520,21,684,,
Boston,12,3,286,11,370,,
Boston,12,4,277,16,350,,
Boston,12,5,223,11,314,,
Boston,12,6,239,5,286,,
Boston,12,7,528,20,681,,
Boston,12,8,251,7,313,,
Boston,12,9,308,10,386,,
Boston,13,1,198,21,393,,
Boston,13,2,124,9,164,,
Boston,13,3,292,43,403,,
Boston,13,4,198,11,277,,
Boston,13,5,204,15,293,,
Boston,13,6,366,36,478,,
Boston,13,7,358,89,533,,
Boston,13,8,314,67,499,,
Boston,13,9,311,66,466,,
Boston,13,10,677,116,949,,
Boston,14,1,373,17,500,,
Boston,14,2,510,24,698,,
Boston,14,3,293,15,395,,
Boston,14,4,306,15,408,,
Boston,14,5,276,4,352,,
Boston,14,6,252,31,340,,
Boston,14,7,291,11,392,,
Boston,14,8,293,14,378,,
Boston,14,9,224,10,289,,
Boston,14,10,293,13,378,,
Boston,14,11,219,7,275,,
Boston,14,12,186,9,253,,
Boston,14,13,288,11,363,,
Boston,14,14,327,9,425,,
Boston,15,1,309,30,410,,
Boston,15,2,189,10,255,,
Boston,15,3,153,10,194,,
Boston,15,4,345,43,479,,
Boston,15,5,290,19,372,,
Boston,15,6,159,41,249,,
Boston,15,7,141,21,271,,
Boston,15,8,154,31,257,,
Boston,15,9,224,35,321,,
Boston,16,1,257,69,389,,
Boston,16,2,220,52,322,,
Boston,16,3,310,58,466,,
Boston,16,4,357,60,492,,
Boston,16,5,427,77,595,,
Boston,16,6,415,60,579,,
Boston,16,7,523,107,739,,
Boston,16,8,490,98,687,,
Boston,16,9,612,115,862,,
Boston,16,10,394,78,545,,
Boston,16,11,534,100,735,,
