City/Town,Ward,Pct,Elizabeth A. Warren,Scott P. Brown,Total Votes Cast,
Boston,9,4,"1,153",104,"1,268",
Boston,9,5,"1,228",59,"1,305",
Boston,10,1,527,71,605,
Boston,10,2,566,106,679,
Boston,10,3,537,112,658,
Boston,10,4,883,192,"1,100",
Boston,10,5,628,154,795,
Boston,10,6,658,67,733,
Boston,10,7,990,64,"1,070",
Boston,10,8,927,161,"1,099",
Boston,10,9,"1,242",188,"1,443",
Boston,11,1,583,38,629,
Boston,11,2,959,48,"1,014",
Boston,11,3,777,32,816,
Boston,11,4,"1,119",88,"1,225",
Boston,11,5,905,61,973,
Boston,11,6,765,90,863,
Boston,11,7,"1,061",96,"1,166",
Boston,11,8,"1,011",134,"1,153",
Boston,11,9,634,86,725,
Boston,11,10,938,87,"1,035",
Boston,12,1,"1,060",31,"1,097",
Boston,12,2,"1,369",41,"1,425",
Boston,12,3,695,34,734,
Boston,12,4,679,25,706,
Boston,12,5,543,13,559,
Boston,12,6,540,26,571,
Boston,12,7,"1,375",53,"1,443",
Boston,12,8,487,17,512,
Boston,12,9,640,34,681,
Boston,13,1,871,40,915,
Boston,13,2,368,14,386,
Boston,13,3,649,150,822,
Boston,13,4,617,25,645,
Boston,13,5,535,59,604,
Boston,13,6,758,134,903,
Boston,13,7,634,241,897,
Boston,13,8,529,219,762,
Boston,13,9,665,196,876,
Boston,13,10,785,442,"1,232",
Boston,14,1,"1,317",62,"1,389",
Boston,14,2,"1,402",61,"1,472",
Boston,14,3,749,20,772,
Boston,14,4,831,39,876,
Boston,14,5,669,22,695,
Boston,14,6,643,23,671,
Boston,14,7,696,33,747,
Boston,14,8,745,24,776,
Boston,14,9,826,27,870,
Boston,14,10,756,22,787,
Boston,14,11,619,21,646,
Boston,14,12,481,15,503,
Boston,14,13,684,24,717,
Boston,14,14,750,30,791,
Boston,15,1,889,49,948,
Boston,15,2,631,23,656,
Boston,15,3,360,32,394,
Boston,15,4,"1,034",123,"1,181",
Boston,15,5,760,36,806,
Boston,15,6,316,140,473,
Boston,15,7,611,28,642,
Boston,15,8,492,121,629,
Boston,15,9,535,151,697,
Boston,16,1,519,153,689,
Boston,16,2,324,188,523,
Boston,16,3,751,180,941,
Boston,16,4,631,212,852,
Boston,16,5,670,284,959,
Boston,16,6,948,240,"1,194",
Boston,16,7,538,385,931,
Boston,16,8,692,345,"1,050",
Boston,16,9,507,554,"1,067",
Boston,16,10,481,413,908,
Boston,16,11,665,366,"1,034",
Boston,16,12,459,542,"1,011",
Boston,17,1,715,36,755,
Boston,17,2,481,51,540,
