City/Town,Ward,Pct,Edward M. Kennedy,Kenneth G. Chase,Total Votes Cast,
Boston,6,7,476,155,685,
Boston,6,8,461,199,733,
Boston,6,9,451,250,758,
Boston,7,1,428,191,697,
Boston,7,2,487,234,796,
Boston,7,3,615,306,"1,017",
Boston,7,4,481,187,736,
Boston,7,5,306,100,454,
Boston,7,6,336,106,484,
Boston,7,7,311,36,375,
Boston,7,8,270,83,379,
Boston,7,9,317,81,416,
Boston,7,10,364,18,455,
Boston,8,1,292,14,329,
Boston,8,2,650,59,724,
Boston,8,3,376,9,400,
Boston,8,4,201,4,218,
Boston,8,5,415,21,487,
Boston,8,6,152,13,185,
Boston,8,7,297,16,333,
Boston,9,1,650,44,745,
Boston,9,2,761,116,899,
Boston,9,3,969,33,"1,045",
Boston,9,4,559,15,618,
Boston,9,5,745,13,819,
Boston,10,1,299,38,357,
Boston,10,2,351,32,408,
Boston,10,3,288,43,359,
Boston,10,4,614,42,697,
Boston,10,5,409,57,479,
Boston,10,6,355,31,403,
Boston,10,7,471,26,551,
Boston,10,8,537,48,600,
Boston,10,9,737,79,836,
Boston,11,1,359,7,383,
Boston,11,2,510,20,573,
Boston,11,3,386,14,421,
Boston,11,4,636,37,714,
Boston,11,5,527,25,604,
Boston,11,6,456,41,518,
Boston,11,7,665,33,728,
Boston,11,8,656,61,741,
Boston,11,9,468,54,534,
Boston,11,10,592,55,661,
Boston,12,1,646,12,694,
Boston,12,2,743,16,809,
Boston,12,3,394,9,434,
Boston,12,4,360,14,407,
Boston,12,5,318,6,346,
Boston,12,6,324,6,348,
Boston,12,7,762,18,822,
Boston,12,8,272,9,292,
Boston,12,9,369,11,409,
Boston,13,1,451,10,519,
Boston,13,2,171,7,192,
Boston,13,3,394,44,492,
Boston,13,4,310,6,330,
Boston,13,5,256,18,306,
Boston,13,6,471,51,558,
Boston,13,7,389,80,499,
Boston,13,8,333,79,436,
Boston,13,9,422,76,534,
Boston,13,10,690,176,914,
Boston,14,1,604,19,670,
Boston,14,2,817,26,894,
Boston,14,3,436,7,470,
Boston,14,4,494,23,563,
Boston,14,5,374,8,405,
Boston,14,6,357,13,398,
Boston,14,7,422,11,476,
Boston,14,8,414,14,457,
Boston,14,9,343,9,386,
Boston,14,10,412,10,463,
Boston,14,11,306,12,333,
Boston,14,12,234,9,273,
Boston,14,13,392,9,428,
Boston,14,14,426,7,461,
Boston,15,1,446,22,505,
Boston,15,2,317,9,355,
Boston,15,3,172,12,214,
Boston,15,4,471,33,555,
Boston,15,5,355,19,407,
Boston,15,6,207,58,278,
Boston,15,7,297,17,334,
Boston,15,8,261,38,327,
Boston,15,9,259,31,328,
Boston,16,1,312,57,404,
Boston,16,2,218,78,318,
