City/Town,Ward,Pct,John F. Kerry,Jeffrey K. Beatty,Total Votes Cast,,
Boston,3,2,699,256,"1,043",,
Boston,3,3,710,206,"1,011",,
Boston,3,4,738,250,"1,086",,
Boston,3,5,"1,279",419,"1,832",,
Boston,3,6,"1,477",525,"2,133",,
Boston,3,7,"1,883",275,"2,293",,
Boston,3,8,"1,411",406,"2,101",,
Boston,4,1,"1,100",234,"1,420",,
Boston,4,2,"1,343",352,"1,812",,
Boston,4,3,764,119,921,,
Boston,4,4,"1,146",153,"1,393",,
Boston,4,5,789,152,"1,017",,
Boston,4,6,700,129,897,,
Boston,4,7,790,124,997,,
Boston,4,8,654,92,826,,
Boston,4,9,433,20,500,,
Boston,4,10,376,40,461,,
Boston,5,1,"1,638",391,"2,301",,
Boston,5,2,"1,174",179,"1,475",,
Boston,5,3,929,320,"1,317",,
Boston,5,4,"1,152",260,"1,519",,
Boston,5,5,368,107,505,,
Boston,5,6,793,320,"1,189",,
Boston,5,7,"1,072",393,"1,552",,
Boston,5,8,976,358,"1,420",,
Boston,5,9,"1,356",420,"1,881",,
Boston,5,10,999,218,"1,316",,
Boston,5,11,634,168,851,,
Boston,6,1,"1,188",327,"1,628",,
Boston,6,2,523,164,761,,
Boston,6,3,625,264,952,,
Boston,6,4,694,268,"1,050",,
Boston,6,5,623,278,994,,
Boston,6,6,577,337,989,,
Boston,6,7,616,283,980,,
Boston,6,8,586,336,"1,011",,
Boston,6,9,528,404,"1,018",,
Boston,7,1,524,333,934,,
Boston,7,2,629,424,"1,138",,
Boston,7,3,779,433,"1,337",,
Boston,7,4,669,300,"1,049",,
Boston,7,5,524,178,774,,
Boston,7,6,624,158,850,,
Boston,7,7,477,62,592,,
Boston,7,8,371,153,574,,
Boston,7,9,525,117,680,,
Boston,7,10,628,38,746,,
Boston,8,1,466,33,553,,
Boston,8,2,969,117,"1,183",,
Boston,8,3,630,29,716,,
Boston,8,4,359,7,406,,
Boston,8,5,754,22,844,,
Boston,8,6,247,19,292,,
Boston,8,7,467,14,526,,
Boston,9,1,903,81,"1,073",,
Boston,9,2,"1,125",145,"1,351",,
Boston,9,3,"1,450",66,"1,624",,
Boston,9,4,945,30,"1,075",,
Boston,9,5,"1,105",18,"1,208",,
Boston,10,1,428,65,552,,
Boston,10,2,539,60,662,,
Boston,10,3,519,75,647,,
Boston,10,4,840,84,"1,055",,
Boston,10,5,610,80,749,,
Boston,10,6,600,39,725,,
Boston,10,7,860,44,"1,007",,
Boston,10,8,857,76,"1,015",,
Boston,10,9,"1,085",126,"1,287",,
Boston,11,1,504,14,562,,
Boston,11,2,776,20,854,,
Boston,11,3,676,21,750,,
Boston,11,4,875,45,"1,026",,
Boston,11,5,815,30,918,,
Boston,11,6,677,55,786,,
Boston,11,7,940,68,"1,071",,
Boston,11,8,956,83,"1,095",,
Boston,11,9,584,57,695,,
Boston,11,10,814,53,923,,
Boston,12,1,925,21,"1,008",,
Boston,12,2,"1,256",21,"1,343",,
Boston,12,3,564,16,626,,
Boston,12,4,586,14,624,,
Boston,12,5,496,5,546,,
Boston,12,6,480,11,515,,
Boston,12,7,"1,247",21,"1,361",,
Boston,12,8,432,8,471,,
Boston,12,9,560,12,609,,
Boston,13,1,698,17,797,,
Boston,13,2,270,5,306,,
Boston,13,3,747,84,948,,
Boston,13,4,523,21,572,,
Boston,13,5,419,21,508,,
Boston,13,6,651,82,815,,
Boston,13,7,516,122,723,,
Boston,13,8,502,126,717,,
Boston,13,9,570,125,771,,
Boston,13,10,825,278,"1,198",,
Boston,14,1,"1,106",23,"1,206",,
Boston,14,2,"1,323",33,"1,445",,
Boston,14,3,660,8,738,,
Boston,14,4,806,24,888,,
Boston,14,5,572,13,634,,
Boston,14,6,556,19,613,,
Boston,14,7,660,12,717,,
