City/Town,Ward,Pct,Scott P. Brown,Martha Coakley,Total Votes Cast,,
Cambridge,2,1,63,721,799,,
Cambridge,2,2,58,148,208,,
Cambridge,2,3,47,112,162,,
Cambridge,3,1,181,615,806,,
Cambridge,3,2,124,811,946,,
Cambridge,3,3,58,627,689,,
Cambridge,4,1,99,"1,016","1,127",,
Cambridge,4,2,139,"1,073","1,227",,
Cambridge,4,3,57,361,420,,
Cambridge,5,1,162,"1,059","1,227",,
Cambridge,5,2,118,"1,100","1,225",,
Cambridge,5,3,166,"1,184","1,358",,
Cambridge,6,1,157,"1,048","1,217",,
Cambridge,6,2,126,976,"1,113",,
Cambridge,6,3,161,"1,035","1,205",,
Cambridge,7,1,123,"1,071","1,201",,
Cambridge,7,2,69,479,552,,
Cambridge,7,3,48,283,333,,
Cambridge,8,1,104,678,786,,
Cambridge,8,2,167,"1,044","1,216",,
Cambridge,8,3,32,216,251,,
Cambridge,9,1,223,"1,226","1,457",,
Cambridge,9,2,305,"1,149","1,474",,
Cambridge,9,3,290,"1,018","1,317",,
Cambridge,10,1,195,"1,296","1,498",,
Cambridge,10,2,168,"1,289","1,464",,
Cambridge,10,3,94,758,857,,
Cambridge,11,1,63,544,615,,
Cambridge,11,2,251,"1,126","1,389",,
Cambridge,11,3,279,"1,206","1,495",,
Canton,-,1,896,592,"1,501",,
Canton,-,2,937,698,"1,647",,
Canton,-,3,938,653,"1,606",,
Canton,-,4,"1,110",608,"1,735",,
Canton,-,5,"1,034",624,"1,673",,
Canton,-,6,855,613,"1,482",,
Carlisle,-,1,"1,215","1,442","2,671",,
Carver,-,1,"1,096",540,"1,672",,
Carver,-,2,"1,077",492,"1,598",,
Carver,-,3,"1,049",579,"1,661",,
Charlemont,-,1,176,278,464,,
Charlton,-,1,"1,061",467,"1,554",,
Charlton,-,2,"1,245",388,"1,640",,
Charlton,-,3,"1,155",417,"1,587",,
Chatham,-,1,"1,051",703,"1,768",,
Chatham,-,2,"1,128",787,"1,929",,
Chelmsford,-,1,992,633,"1,639",,
Chelmsford,-,2,821,532,"1,370",,
Chelmsford,-,3,997,592,"1,617",,
Chelmsford,-,4,"1,019",488,"1,519",,
Chelmsford,-,5,"1,020",650,"1,685",,
Chelmsford,-,6,"1,123",687,"1,832",,
Chelmsford,-,7,"1,207",721,"1,939",,
Chelmsford,-,8,"1,117",734,"1,858",,
Chelmsford,-,9,"1,125",657,"1,796",,
Chelsea,1,1,44,96,145,,
Chelsea,1,2,29,70,100,,
Chelsea,1,3,49,125,179,,
Chelsea,1,4,58,128,190,,
Chelsea,2,1,247,391,657,,
Chelsea,2,2,38,119,157,,
Chelsea,2,3,26,79,108,,
Chelsea,2,4,46,98,149,,
Chelsea,3,1,59,127,190,,
Chelsea,3,2,92,209,304,,
Chelsea,3,3,72,167,244,,
Chelsea,3,4,94,149,249,,
Chelsea,4,1,180,221,410,,
Chelsea,4,2,187,218,414,,
Chelsea,4,3,215,215,441,,
Chelsea,4,4,67,156,229,,
Cheshire,-,1,436,740,"1,192",,
Chester,-,1,292,194,498,,
Chesterfield,-,1,242,264,510,,
Chicopee,1,A,544,396,958,,
Chicopee,1,B,641,538,"1,211",,
Chicopee,2,A,85,120,212,,
Chicopee,2,B,155,193,357,,
Chicopee,2,CN,65,56,122,,
Chicopee,2,CS,63,68,133,,
Chicopee,2,D,331,220,563,,
Chicopee,3,AE,134,125,264,,
Chicopee,3,AW,337,226,579,,
Chicopee,3,B,177,189,380,,
Chicopee,3,C,163,200,369,,
Chicopee,4,A,268,236,514,,
Chicopee,4,B,217,206,433,,
Chicopee,4,C,398,349,767,,
Chicopee,5,A,434,337,787,,
