City/Town,Ward,Pct,Obama/ Biden,Romney/ Ryan,Total Votes Cast,,,,
Boston,16,8,750,272,"1,050",,,,
Boston,16,9,579,470,"1,067",,,,
Boston,16,10,559,320,908,,,,
Boston,16,11,718,291,"1,034",,,,
Boston,16,12,555,439,"1,011",,,,
Boston,17,1,731,19,755,,,,
Boston,17,2,496,35,540,,,,
Boston,17,3,"1,128",58,"1,200",,,,
Boston,17,4,"1,197",138,"1,352",,,,
Boston,17,5,568,10,586,,,,
Boston,17,6,845,54,912,,,,
Boston,17,7,439,13,453,,,,
Boston,17,8,729,23,758,,,,
Boston,17,9,615,37,663,,,,
Boston,17,10,"1,033",20,"1,057",,,,
Boston,17,11,368,18,393,,,,
Boston,17,12,626,49,684,,,,
Boston,17,13,878,194,"1,097",,,,
Boston,17,14,717,68,798,,,,
Boston,18,1,"1,309",34,"1,347",,,,
Boston,18,2,"1,007",9,"1,024",,,,
Boston,18,3,"1,178",16,"1,196",,,,
Boston,18,4,"1,116",23,"1,146",,,,
Boston,18,5,"1,160",25,"1,192",,,,
Boston,18,6,"1,298",49,"1,356",,,,
Boston,18,7,857,119,994,,,,
Boston,18,8,"1,538",154,"1,705",,,,
Boston,18,9,877,197,"1,099",,,,
Boston,18,10,"1,216",238,"1,497",,,,
Boston,18,11,844,91,949,,,,
Boston,18,12,851,210,"1,073",,,,
Boston,18,13,546,65,622,,,,
Boston,18,14,568,67,646,,,,
Boston,18,15,930,46,985,,,,
Boston,18,16,789,390,"1,207",,,,
Boston,18,17,851,203,"1,069",,,,
Boston,18,18,"1,091",234,"1,341",,,,
Boston,18,19,"1,278",253,"1,594",,,,
Boston,18,20,"1,012",449,"1,488",,,,
Boston,18,21,"1,280",25,"1,314",,,,
Boston,18,22,890,342,"1,256",,,,
Boston,18,23,728,41,779,,,,
Boston,19,1,946,58,"1,047",,,,
Boston,19,2,893,381,"1,308",,,,
Boston,19,3,746,116,893,,,,
Boston,19,4,"1,068",66,"1,196",,,,
Boston,19,5,864,78,978,,,,
Boston,19,6,"1,186",95,"1,336",,,,
Boston,19,7,"1,105",100,"1,260",,,,
Boston,19,8,623,75,717,,,,
Boston,19,9,592,60,667,,,,
Boston,19,10,"1,046",167,"1,246",,,,
Boston,19,11,827,42,887,,,,
Boston,19,12,728,89,838,,,,
Boston,19,13,728,93,840,,,,
Boston,20,1,840,267,"1,139",,,,
Boston,20,2,956,218,"1,214",,,,
Boston,20,3,824,401,"1,255",,,,
Boston,20,4,796,160,994,,,,
Boston,20,5,724,448,"1,209",,,,
Boston,20,6,837,464,"1,324",,,,
Boston,20,7,560,242,828,,,,
Boston,20,8,612,217,849,,,,
Boston,20,9,686,248,948,,,,
Boston,20,10,866,591,"1,482",,,,
Boston,20,11,435,201,648,,,,
Boston,20,12,481,346,854,,,,
Boston,20,13,487,291,795,,,,
Boston,20,14,423,320,766,,,,
Boston,20,15,815,507,"1,351",,,,
Boston,20,16,817,563,"1,408",,,,
Boston,20,17,873,607,"1,504",,,,
Boston,20,18,516,253,787,,,,
Boston,20,19,464,330,809,,,,
Boston,20,20,847,438,"1,315",,,,
Boston,21,1,911,210,"1,164",,,,
Boston,21,2,657,107,792,,,,
Boston,21,3,617,109,756,,,,
Boston,21,4,500,76,608,,,,
Boston,21,5,709,101,858,,,,
Boston,21,6,608,99,742,,,,
Boston,21,7,725,133,890,,,,
Boston,21,8,868,146,"1,054",,,,
Boston,21,9,896,170,"1,111",,,,
Boston,21,10,672,154,856,,,,
Boston,21,11,802,226,"1,069",,,,
Boston,21,12,740,273,"1,060",,,,
Boston,21,13,915,461,"1,431",,,,
Boston,21,14,515,98,635,,,,
Boston,21,15,605,136,781,,,,
Boston,21,16,796,278,"1,110",,,,
Boston,22,1,942,261,"1,255",,,,
Boston,22,2,984,183,"1,234",,,,
Boston,22,3,818,263,"1,117",,,,
Boston,22,4,575,177,787,,,,
Boston,22,5,454,122,604,,,,
Boston,22,6,470,141,644,,,,
Boston,22,7,747,217,"1,005",,,,
Boston,22,8,578,310,915,,,,
Boston,22,9,610,266,913,,,,
Boston,22,10,800,258,"1,088",,,,
Boston,22,11,541,175,737,,,,
Boston,22,12,543,174,742,,,,
Boston,22,13,408,162,587,,,,
Bourne,-,1,671,783,"1,479",,,,
Bourne,-,2,728,972,"1,724",,,,
Bourne,-,3,438,437,895,,,,
Bourne,-,4,845,858,"1,735",,,,
Bourne,-,5,824,816,"1,665",,,,
Bourne,-,6,602,626,"1,244",,,,
Bourne,-,7,704,804,"1,532",,,,
Boxborough,-,1,"1,753","1,140","2,965",,,,
Boxford,-,1,700,"1,001","1,731",,,,
Boxford,-,2,714,"1,039","1,785",,,,
Boxford,-,3,652,994,"1,677",,,,
Boylston,-,1,"1,283","1,343","2,693",,,,
Braintree,-,1A,834,830,"1,715",,,,
Braintree,-,1B,726,730,"1,474",,,,
Braintree,-,2A,872,849,"1,748",,,,
Braintree,-,2B,866,860,"1,759",,,,
Braintree,-,3A,858,577,"1,463",,,,
Braintree,-,3B,895,677,"1,607",,,,
Braintree,-,4A,777,634,"1,437",,,,
Braintree,-,4B,779,588,"1,390",,,,
Braintree,-,5A,817,778,"1,631",,,,
Braintree,-,5B,857,851,"1,737",,,,
Braintree,-,6A,916,"1,035","1,981",,,,
Braintree,-,6B,862,823,"1,729",,,,
Brewster,-,1,"1,224",937,"2,209",,,,
Brewster,-,2,"1,253",888,"2,184",,,,
Brewster,-,3,"1,201",927,"2,186",,,,
Bridgewater,-,1,"1,019","1,271","2,327",,,,
Bridgewater,-,2,971,"1,161","2,175",,,,
Bridgewater,-,3,"1,066","1,266","2,364",,,,
Bridgewater,-,4,544,543,"1,114",,,,
Bridgewater,-,5,382,313,711,,,,
Bridgewater,-,6,830,639,"1,506",,,,
Bridgewater,-,7,965,905,"1,918",,,,
Brimfield,-,1,897,"1,095","2,054",,,,
Brockton,1,A,830,210,"1,047",,,,
Brockton,1,B,"1,020",478,"1,526",,,,
Brockton,1,C,910,369,"1,294",,,,
Brockton,1,D,981,646,"1,657",,,,
Brockton,2,A,815,45,866,,,,
Brockton,2,B,737,74,819,,,,
Brockton,2,C,714,59,780,,,,
