City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Total Votes Cast,,,,,,,,,
Boston,1,4,366,88,492,,,,,,,,,
Boston,1,5,652,153,867,,,,,,,,,
Boston,1,6,556,138,746,,,,,,,,,
Boston,1,7,604,143,806,,,,,,,,,
Boston,1,8,859,187,"1,123",,,,,,,,,
Boston,1,9,551,146,761,,,,,,,,,
Boston,1,10,364,105,496,,,,,,,,,
Boston,1,11,644,345,"1,058",,,,,,,,,
Boston,1,12,582,364,"1,021",,,,,,,,,
Boston,1,13,927,361,"1,367",,,,,,,,,
Boston,1,14,425,219,678,,,,,,,,,
Boston,1,15,1,0,1,,,,,,,,,
Boston,2,1,"1,164",384,"1,709",,,,,,,,,
Boston,2,2,"1,530",378,"2,067",,,,,,,,,
Boston,2,3,876,211,"1,200",,,,,,,,,
Boston,2,4,821,187,"1,118",,,,,,,,,
Boston,2,5,875,280,"1,276",,,,,,,,,
Boston,2,6,"1,028",381,"1,559",,,,,,,,,
Boston,2,7,779,290,"1,176",,,,,,,,,
Boston,3,1,"1,165",434,"1,758",,,,,,,,,
Boston,3,2,856,298,"1,263",,,,,,,,,
Boston,3,3,916,329,"1,371",,,,,,,,,
Boston,3,4,931,361,"1,422",,,,,,,,,
Boston,3,5,"1,684",386,"2,229",,,,,,,,,
Boston,3,6,"2,121",536,"2,904",,,,,,,,,
Boston,3,7,"2,451",223,"2,836",,,,,,,,,
Boston,3,8,"2,941",433,"3,621",,,,,,,,,
Boston,4,1,"1,283",121,"1,502",,,,,,,,,
Boston,4,2,"1,731",324,"2,228",,,,,,,,,
Boston,4,3,858,73,"1,023",,,,,,,,,
Boston,4,4,"1,214",82,"1,386",,,,,,,,,
Boston,4,5,901,114,"1,095",,,,,,,,,
Boston,4,6,741,98,911,,,,,,,,,
Boston,4,7,819,76,959,,,,,,,,,
Boston,4,8,795,113,978,,,,,,,,,
Boston,4,9,689,24,770,,,,,,,,,
Boston,4,10,390,45,465,,,,,,,,,
Boston,5,1,"2,512",301,"3,056",,,,,,,,,
Boston,5,2,882,77,"1,029",,,,,,,,,
Boston,5,2A,507,76,638,,,,,,,,,
Boston,5,3,"1,077",191,"1,395",,,,,,,,,
Boston,5,4,"1,371",174,"1,684",,,,,,,,,
Boston,5,5,449,87,593,,,,,,,,,
Boston,5,6,"1,020",227,"1,380",,,,,,,,,
Boston,5,7,"1,296",268,"1,722",,,,,,,,,
Boston,5,8,"1,136",209,"1,494",,,,,,,,,
Boston,5,9,"1,572",243,"2,011",,,,,,,,,
Boston,5,10,"1,025",175,"1,300",,,,,,,,,
Boston,5,11,723,120,911,,,,,,,,,
Boston,6,1,"2,669",668,"3,593",,,,,,,,,
Boston,6,2,706,203,989,,,,,,,,,
Boston,6,3,950,330,"1,400",,,,,,,,,
Boston,6,4,880,358,"1,385",,,,,,,,,
Boston,6,5,805,360,"1,296",,,,,,,,,
Boston,6,6,683,367,"1,175",,,,,,,,,
Boston,6,7,742,411,"1,277",,,,,,,,,
Boston,6,8,693,370,"1,181",,,,,,,,,
Boston,6,9,588,439,"1,115",,,,,,,,,
Boston,7,1,605,367,"1,065",,,,,,,,,
Boston,7,2,799,429,"1,352",,,,,,,,,
Boston,7,3,886,475,"1,496",,,,,,,,,
Boston,7,4,826,333,"1,261",,,,,,,,,
Boston,7,5,749,231,"1,081",,,,,,,,,
Boston,7,6,696,202,959,,,,,,,,,
Boston,7,7,580,98,712,,,,,,,,,
Boston,7,8,632,167,863,,,,,,,,,
Boston,7,9,618,187,873,,,,,,,,,
Boston,7,10,835,48,916,,,,,,,,,
Boston,8,1,706,57,791,,,,,,,,,
Boston,8,2,"1,396",136,"1,612",,,,,,,,,
Boston,8,3,724,26,781,,,,,,,,,
Boston,8,4,404,9,427,,,,,,,,,
Boston,8,5,760,35,821,,,,,,,,,
Boston,8,6,271,27,314,,,,,,,,,
Boston,8,7,541,27,588,,,,,,,,,
Boston,9,1,"1,158",97,"1,319",,,,,,,,,
Boston,9,2,"1,129",94,"1,309",,,,,,,,,
Boston,9,3,"1,914",69,"2,059",,,,,,,,,
Boston,9,4,"1,177",57,"1,283",,,,,,,,,
Boston,9,5,"1,330",34,"1,415",,,,,,,,,
Boston,10,1,616,37,682,,,,,,,,,
Boston,10,2,557,55,661,,,,,,,,,
Boston,10,3,553,58,663,,,,,,,,,
Boston,10,4,977,154,"1,190",,,,,,,,,
Boston,10,5,678,77,857,,,,,,,,,
Boston,10,6,761,44,870,,,,,,,,,
Boston,10,7,"1,082",34,"1,156",,,,,,,,,
Boston,10,8,"1,021",67,"1,168",,,,,,,,,
Boston,10,9,"1,432",78,"1,617",,,,,,,,,
Boston,11,1,560,19,627,,,,,,,,,
Boston,11,2,"1,000",25,"1,073",,,,,,,,,
Boston,11,3,768,27,820,,,,,,,,,
Boston,11,4,"1,247",49,"1,375",,,,,,,,,
Boston,11,5,"1,000",48,"1,099",,,,,,,,,
Boston,11,6,845,43,960,,,,,,,,,
Boston,11,7,"1,113",49,"1,229",,,,,,,,,
Boston,11,8,"1,123",58,"1,249",,,,,,,,,
Boston,11,9,762,45,865,,,,,,,,,
Boston,11,10,956,27,"1,047",,,,,,,,,
Boston,12,1,"1,049",37,"1,141",,,,,,,,,
Boston,12,2,"1,126",26,"1,211",,,,,,,,,
Boston,12,3,599,18,659,,,,,,,,,
Boston,12,4,658,29,721,,,,,,,,,
Boston,12,5,470,10,489,,,,,,,,,
Boston,12,6,544,22,587,,,,,,,,,
Boston,12,7,"1,491",42,"1,581",,,,,,,,,
Boston,12,8,457,16,491,,,,,,,,,
Boston,12,9,620,20,664,,,,,,,,,
Boston,13,1,876,33,942,,,,,,,,,
Boston,13,2,329,12,356,,,,,,,,,
Boston,13,3,679,69,813,,,,,,,,,
Boston,13,4,610,26,658,,,,,,,,,
Boston,13,5,611,39,686,,,,,,,,,
Boston,13,6,801,75,921,,,,,,,,,
Boston,13,7,758,182,"1,027",,,,,,,,,
Boston,13,8,681,143,888,,,,,,,,,
Boston,13,9,799,103,962,,,,,,,,,
Boston,13,10,913,303,"1,333",,,,,,,,,
Boston,14,1,"1,377",50,"1,482",,,,,,,,,
Boston,14,2,"1,517",41,"1,613",,,,,,,,,
Boston,14,3,762,9,788,,,,,,,,,
Boston,14,4,850,30,913,,,,,,,,,
Boston,14,5,642,12,669,,,,,,,,,
Boston,14,6,674,24,725,,,,,,,,,
Boston,14,7,696,19,737,,,,,,,,,
Boston,14,8,759,20,807,,,,,,,,,
Boston,14,9,775,22,826,,,,,,,,,
Boston,14,10,805,13,837,,,,,,,,,
Boston,14,11,686,30,738,,,,,,,,,
Boston,14,12,484,11,506,,,,,,,,,
Boston,14,13,664,16,709,,,,,,,,,
Boston,14,14,757,16,798,,,,,,,,,
Boston,15,1,887,31,948,,,,,,,,,
Boston,15,2,612,8,643,,,,,,,,,
Boston,15,3,395,16,423,,,,,,,,,
Boston,15,4,"1,069",90,"1,217",,,,,,,,,
Boston,15,5,781,29,842,,,,,,,,,
Boston,15,6,373,101,502,,,,,,,,,
Boston,15,7,638,22,694,,,,,,,,,
Boston,15,8,490,77,604,,,,,,,,,
Boston,15,9,616,81,734,,,,,,,,,
Boston,16,1,569,102,705,,,,,,,,,
Boston,16,2,457,157,651,,,,,,,,,
Boston,16,3,869,106,"1,024",,,,,,,,,
Boston,16,4,696,111,860,,,,,,,,,
Boston,16,5,779,175,"1,015",,,,,,,,,
Boston,16,6,995,167,"1,235",,,,,,,,,
Boston,16,7,589,305,971,,,,,,,,,
Boston,16,8,748,241,"1,096",,,,,,,,,
Boston,16,9,582,466,"1,134",,,,,,,,,
Boston,16,10,576,331,964,,,,,,,,,
Boston,16,11,749,291,"1,127",,,,,,,,,
Boston,16,12,456,442,982,,,,,,,,,
Boston,17,1,726,30,781,,,,,,,,,
Boston,17,2,499,33,564,,,,,,,,,
Boston,17,3,"1,143",50,"1,242",,,,,,,,,
Boston,17,4,"1,169",112,"1,339",,,,,,,,,
Boston,17,5,509,15,553,,,,,,,,,
