City/Town,Ward,Pct,Obama/ Biden,McCain/ Palin,Total Votes Cast,,,,,,
Boston,11,1,536,14,562,,,,,,
Boston,11,2,826,19,854,,,,,,
Boston,11,3,730,15,750,,,,,,
Boston,11,4,950,53,"1,026",,,,,,
Boston,11,5,871,37,918,,,,,,
Boston,11,6,699,56,786,,,,,,
Boston,11,7,978,64,"1,071",,,,,,
Boston,11,8,982,89,"1,095",,,,,,
Boston,11,9,605,60,695,,,,,,
Boston,11,10,844,59,923,,,,,,
Boston,12,1,991,13,"1,008",,,,,,
Boston,12,2,"1,321",13,"1,343",,,,,,
Boston,12,3,603,14,626,,,,,,
Boston,12,4,609,11,624,,,,,,
Boston,12,5,536,6,546,,,,,,
Boston,12,6,505,8,515,,,,,,
Boston,12,7,"1,323",24,"1,361",,,,,,
Boston,12,8,457,10,471,,,,,,
Boston,12,9,605,3,609,,,,,,
Boston,13,1,773,21,797,,,,,,
Boston,13,2,293,11,306,,,,,,
Boston,13,3,830,103,948,,,,,,
Boston,13,4,547,22,572,,,,,,
Boston,13,5,470,25,508,,,,,,
Boston,13,6,674,127,815,,,,,,
Boston,13,7,510,197,723,,,,,,
Boston,13,8,488,210,717,,,,,,
Boston,13,9,584,172,771,,,,,,
Boston,13,10,773,392,"1,198",,,,,,
Boston,14,1,"1,168",26,"1,206",,,,,,
Boston,14,2,"1,417",21,"1,445",,,,,,
Boston,14,3,728,5,738,,,,,,
Boston,14,4,850,28,888,,,,,,
Boston,14,5,621,10,634,,,,,,
Boston,14,6,598,10,613,,,,,,
Boston,14,7,689,13,717,,,,,,
Boston,14,8,670,8,682,,,,,,
Boston,14,9,631,13,653,,,,,,
Boston,14,10,709,19,733,,,,,,
Boston,14,11,519,13,536,,,,,,
Boston,14,12,455,3,463,,,,,,
Boston,14,13,633,7,643,,,,,,
Boston,14,14,750,12,766,,,,,,
Boston,15,1,820,38,868,,,,,,
Boston,15,2,559,11,575,,,,,,
Boston,15,3,320,17,339,,,,,,
Boston,15,4,865,113,989,,,,,,
Boston,15,5,686,17,707,,,,,,
Boston,15,6,272,161,444,,,,,,
Boston,15,7,504,24,535,,,,,,
Boston,15,8,417,102,530,,,,,,
Boston,15,9,448,119,582,,,,,,
Boston,16,1,446,146,607,,,,,,
Boston,16,2,289,159,459,,,,,,
Boston,16,3,696,164,881,,,,,,
Boston,16,4,578,167,753,,,,,,
Boston,16,5,612,237,865,,,,,,
Boston,16,6,841,193,"1,051",,,,,,
Boston,16,7,508,362,888,,,,,,
Boston,16,8,616,274,911,,,,,,
Boston,16,9,478,509,"1,023",,,,,,
Boston,16,10,407,305,726,,,,,,
Boston,16,11,635,323,976,,,,,,
Boston,16,12,489,456,968,,,,,,
Boston,17,1,678,20,698,,,,,,
Boston,17,2,457,41,505,,,,,,
Boston,17,3,996,56,"1,069",,,,,,
Boston,17,4,"1,123",147,"1,277",,,,,,
Boston,17,5,468,9,482,,,,,,
Boston,17,6,735,56,803,,,,,,
Boston,17,7,408,7,418,,,,,,
Boston,17,8,671,16,693,,,,,,
Boston,17,9,572,57,644,,,,,,
Boston,17,10,889,30,923,,,,,,
Boston,17,11,314,21,337,,,,,,
Boston,17,12,582,48,649,,,,,,
Boston,17,13,752,218,988,,,,,,
Boston,17,14,606,84,699,,,,,,
Boston,18,1,"1,222",35,"1,267",,,,,,
Boston,18,2,896,14,919,,,,,,
Boston,18,3,"1,088",15,"1,107",,,,,,
Boston,18,4,"1,018",23,"1,052",,,,,,
Boston,18,5,"1,058",32,"1,096",,,,,,
Boston,18,6,"1,172",57,"1,236",,,,,,
Boston,18,7,754,120,889,,,,,,
Boston,18,8,"1,449",169,"1,638",,,,,,
Boston,18,9,700,225,950,,,,,,
Boston,18,10,"1,099",273,"1,410",,,,,,
Boston,18,11,748,98,852,,,,,,
Boston,18,12,770,254,"1,043",,,,,,
Boston,18,13,498,70,579,,,,,,
Boston,18,14,517,76,600,,,,,,
Boston,18,15,828,58,896,,,,,,
Boston,18,16,733,403,"1,156",,,,,,
Boston,18,17,750,221,983,,,,,,
Boston,18,18,914,263,"1,202",,,,,,
Boston,18,19,"1,077",307,"1,415",,,,,,
Boston,18,20,831,508,"1,376",,,,,,
Boston,18,21,"1,286",21,"1,314",,,,,,
Boston,18,22,791,359,"1,176",,,,,,
Boston,18,23,680,50,738,,,,,,
Boston,19,1,904,39,974,,,,,,
Boston,19,2,946,341,"1,315",,,,,,
Boston,19,3,766,91,868,,,,,,
Boston,19,4,"1,040",77,"1,145",,,,,,
Boston,19,5,900,114,"1,042",,,,,,
Boston,19,6,"1,227",76,"1,340",,,,,,
Boston,19,7,999,120,"1,158",,,,,,
Boston,19,8,604,69,686,,,,,,
Boston,19,9,559,58,627,,,,,,
Boston,19,10,907,203,"1,142",,,,,,
Boston,19,11,659,47,716,,,,,,
Boston,19,12,615,118,750,,,,,,
Boston,19,13,614,122,750,,,,,,
Boston,20,1,860,279,"1,166",,,,,,
Boston,20,2,827,245,"1,109",,,,,,
Boston,20,3,694,390,"1,127",,,,,,
Boston,20,4,718,174,908,,,,,,
