City/Town,Ward,Pct,Kerry/ Edwards,Bush/ Cheney,Total Votes Cast,,,,,
Boston,14,6,490,28,523,,,,,
Boston,14,7,543,48,598,,,,,
Boston,14,8,486,36,523,,,,,
Boston,14,9,527,38,568,,,,,
Boston,14,10,528,36,564,,,,,
Boston,14,11,401,24,427,,,,,
Boston,14,12,342,20,365,,,,,
Boston,14,13,498,26,528,,,,,
Boston,14,14,565,37,606,,,,,
Boston,15,1,590,42,638,,,,,
Boston,15,2,409,33,445,,,,,
Boston,15,3,258,25,284,,,,,
Boston,15,4,619,89,715,,,,,
Boston,15,5,507,43,552,,,,,
Boston,15,6,220,122,348,,,,,
Boston,15,7,386,42,431,,,,,
Boston,15,8,295,128,424,,,,,
Boston,15,9,347,83,441,,,,,
Boston,16,1,394,159,563,,,,,
Boston,16,2,269,135,412,,,,,
Boston,16,3,521,165,693,,,,,
Boston,16,4,497,144,649,,,,,
Boston,16,5,581,206,798,,,,,
Boston,16,6,699,190,899,,,,,
Boston,16,7,590,265,861,,,,,
Boston,16,8,553,228,794,,,,,
Boston,16,9,599,356,971,,,,,
Boston,16,10,443,231,683,,,,,
Boston,16,11,581,307,899,,,,,
Boston,16,12,642,348,"1,004",,,,,
Boston,17,1,536,42,580,,,,,
Boston,17,2,363,65,431,,,,,
Boston,17,3,822,95,924,,,,,
Boston,17,4,921,190,"1,118",,,,,
Boston,17,5,319,31,350,,,,,
Boston,17,6,599,83,697,,,,,
Boston,17,7,324,24,349,,,,,
Boston,17,8,580,35,616,,,,,
Boston,17,9,491,66,562,,,,,
Boston,17,10,721,53,776,,,,,
Boston,17,11,276,40,322,,,,,
Boston,17,12,479,68,559,,,,,
Boston,17,13,664,193,864,,,,,
Boston,17,14,523,99,630,,,,,
Boston,18,1,968,69,"1,041",,,,,
Boston,18,2,715,56,772,,,,,
Boston,18,3,858,57,921,,,,,
Boston,18,4,811,60,877,,,,,
Boston,18,5,814,69,889,,,,,
Boston,18,6,919,115,"1,036",,,,,
Boston,18,7,592,139,741,,,,,
Boston,18,8,"1,105",228,"1,339",,,,,
Boston,18,9,683,212,907,,,,,
Boston,18,10,988,260,"1,267",,,,,
Boston,18,11,577,95,680,,,,,
Boston,18,12,672,255,938,,,,,
Boston,18,13,418,89,512,,,,,
Boston,18,14,431,108,545,,,,,
Boston,18,15,672,109,785,,,,,
Boston,18,16,692,368,"1,081",,,,,
Boston,18,17,630,239,883,,,,,
Boston,18,18,663,276,948,,,,,
Boston,18,19,928,340,"1,276",,,,,
Boston,18,20,828,404,"1,251",,,,,
Boston,18,21,909,89,"1,002",,,,,
Boston,18,22,743,340,"1,094",,,,,
Boston,18,23,524,64,591,,,,,
Boston,19,1,773,62,863,,,,,
Boston,19,2,907,383,"1,307",,,,,
Boston,19,3,663,108,792,,,,,
Boston,19,4,947,73,"1,053",,,,,
Boston,19,5,796,104,918,,,,,
Boston,19,6,"1,125",80,"1,249",,,,,
Boston,19,7,885,126,"1,029",,,,,
Boston,19,8,559,82,661,,,,,
Boston,19,9,529,55,602,,,,,
Boston,19,10,835,184,"1,032",,,,,
Boston,19,11,538,60,603,,,,,
Boston,19,12,568,143,722,,,,,
Boston,19,13,454,132,596,,,,,
Boston,20,1,853,263,"1,134",,,,,
Boston,20,2,765,246,"1,033",,,,,
Boston,20,3,648,393,"1,064",,,,,
Boston,20,4,731,159,907,,,,,
Boston,20,5,675,399,"1,113",,,,,
Boston,20,6,780,403,"1,205",,,,,
Boston,20,7,507,223,736,,,,,
Boston,20,8,558,190,759,,,,,
Boston,20,9,596,220,821,,,,,
Boston,20,10,789,535,"1,338",,,,,
Boston,20,11,409,204,624,,,,,
Boston,20,12,514,281,815,,,,,
Boston,20,13,454,229,696,,,,,
Boston,20,14,471,302,790,,,,,
Boston,20,15,745,447,"1,212",,,,,
Boston,20,16,766,497,"1,287",,,,,
Boston,20,17,892,547,"1,462",,,,,
Boston,20,18,443,243,700,,,,,
Boston,20,19,535,288,834,,,,,
Boston,20,20,796,370,"1,187",,,,,
Boston,21,1,723,149,887,,,,,
Boston,21,2,363,72,455,,,,,
Boston,21,3,638,117,781,,,,,
Boston,21,4,470,67,551,,,,,
Boston,21,5,561,90,668,,,,,
Boston,21,6,568,108,693,,,,,
Boston,21,7,671,121,814,,,,,
Boston,21,8,737,125,883,,,,,
Boston,21,9,740,150,911,,,,,
Boston,21,10,540,139,691,,,,,
Boston,21,11,677,177,867,,,,,
Boston,21,12,729,277,"1,032",,,,,
Boston,21,13,867,353,"1,247",,,,,
Boston,21,14,443,104,556,,,,,
Boston,21,15,597,122,737,,,,,
Boston,21,16,732,197,946,,,,,
Boston,22,1,844,259,"1,127",,,,,
Boston,22,2,761,212,"1,001",,,,,
Boston,22,3,790,231,"1,047",,,,,
Boston,22,4,560,169,749,,,,,
Boston,22,5,379,100,488,,,,,
Boston,22,6,444,121,579,,,,,
Boston,22,7,697,187,905,,,,,
Boston,22,8,648,260,929,,,,,
Boston,22,9,593,209,815,,,,,
Boston,22,10,753,241,"1,014",,,,,
Boston,22,11,462,151,623,,,,,
Boston,22,12,472,154,635,,,,,
Boston,22,13,375,164,551,,,,,
Bourne,-,1,747,759,"1,527",,,,,
Bourne,-,2,888,887,"1,792",,,,,
Bourne,-,3,725,694,"1,441",,,,,
Bourne,-,4,928,792,"1,740",,,,,
Bourne,-,5,970,949,"1,952",,,,,
Bourne,-,6,678,707,"1,408",,,,,
Boxborough,-,1,"1,539",990,"2,589",,,,,
Boxford,-,1,656,819,"1,495",,,,,
Boxford,-,2,742,956,"1,732",,,,,
Boxford,-,3,666,889,"1,584",,,,,
Boylston,-,1,"1,302","1,113","2,467",,,,,
Braintree,-,1,879,659,"1,557",,,,,
Braintree,-,2,855,667,"1,537",,,,,
Braintree,-,3,873,663,"1,562",,,,,
Braintree,-,4,851,638,"1,512",,,,,
Braintree,-,5,882,728,"1,631",,,,,
Braintree,-,6,802,513,"1,331",,,,,
Braintree,-,7,876,592,"1,488",,,,,
Braintree,-,8,711,492,"1,213",,,,,
Braintree,-,9,886,705,"1,609",,,,,
Braintree,-,10,893,634,"1,548",,,,,
Braintree,-,11,873,793,"1,698",,,,,
Braintree,-,12,838,713,"1,575",,,,,
Brewster,-,1,"1,252",896,"2,194",,,,,
Brewster,-,2,"1,381",932,"2,361",,,,,
Brewster,-,3,"1,194",899,"2,134",,,,,
Bridgewater,-,1,"1,040","1,078","2,163",,,,,
Bridgewater,-,2,"1,045","1,087","2,163",,,,,
Bridgewater,-,3,"1,026","1,107","2,149",,,,,
Bridgewater,-,4,319,318,639,,,,,
Bridgewater,-,5,446,420,884,,,,,
Bridgewater,-,6,815,658,"1,504",,,,,
Bridgewater,-,7,898,861,"1,788",,,,,
Brimfield,-,1,920,894,"1,845",,,,,
Brockton,1,A,663,288,968,,,,,
Brockton,1,B,941,506,"1,466",,,,,
Brockton,1,C,710,379,"1,101",,,,,
Brockton,1,D,999,701,"1,724",,,,,
Brockton,2,A,415,102,520,,,,,
Brockton,2,B,526,130,661,,,,,
Brockton,2,C,426,110,543,,,,,
Brockton,2,D,656,367,"1,036",,,,,
Brockton,3,A,570,285,866,,,,,
Brockton,3,B,627,233,866,,,,,
Brockton,3,C,887,676,"1,587",,,,,
Brockton,3,D,909,634,"1,559",,,,,
Brockton,4,A,462,127,595,,,,,
Brockton,4,B,678,354,"1,045",,,,,
Brockton,4,C,807,440,"1,261",,,,,
Brockton,4,D,773,440,"1,222",,,,,
Brockton,5,A,604,142,751,,,,,
Brockton,5,B,883,417,"1,317",,,,,
Brockton,5,C,679,288,980,,,,,
Brockton,5,D,850,503,"1,366",,,,,
Brockton,6,A,626,300,935,,,,,
Brockton,6,B,798,493,"1,307",,,,,
Brockton,6,C,727,442,"1,182",,,,,
Brockton,6,D,863,535,"1,412",,,,,
Brockton,7,A,604,176,792,,,,,
Brockton,7,B,848,282,"1,141",,,,,
Brockton,7,C,768,269,"1,055",,,,,
Brockton,7,D,792,439,"1,250",,,,,
Brookfield,-,1,817,782,"1,636",,,,,
Brookline,-,1,"1,309",326,"1,680",,,,,
Brookline,-,2,963,225,"1,208",,,,,
Brookline,-,3,"1,433",270,"1,750",,,,,
Brookline,-,4,"1,232",319,"1,567",,,,,
Brookline,-,5,"1,242",290,"1,559",,,,,
Brookline,-,6,"1,399",234,"1,662",,,,,
Brookline,-,7,"1,332",288,"1,650",,,,,
Brookline,-,8,"1,345",239,"1,624",,,,,
Brookline,-,9,"1,361",277,"1,675",,,,,
Brookline,-,10,"1,274",324,"1,622",,,,,
Brookline,-,11,"1,374",293,"1,696",,,,,
Brookline,-,12,"1,462",335,"1,834",,,,,
Brookline,-,13,"1,349",359,"1,742",,,,,
Brookline,-,14,"1,503",445,"1,985",,,,,
Brookline,-,15,"1,332",604,"1,971",,,,,
Brookline,-,16,"1,346",441,"1,809",,,,,
Buckland,-,1,684,312,"1,036",,,,,
Burlington,-,1,"1,230","1,021","2,279",,,,,
Burlington,-,2,985,706,"1,719",,,,,
Burlington,-,3,"1,158",985,"2,171",,,,,
Burlington,-,4,"1,051",652,"1,731",,,,,
Burlington,-,5,"1,188",950,"2,174",,,,,
Burlington,-,6,"1,135",927,"2,090",,,,,
